class,total39864,total39865,total39866,total39867,total39868,total39869,total39870,total39871,total39872,total39873,total39874,total39875,total39876,total39877,total39878,total39879,total39880,total39881,total39882,total39883,ARM1A,ARM1B,ARM2A,ARM2B,ARM3A,ARM3B,ARM4A,ARM4B,BAL1A,BAL1B,DRA1A,DRA1B,WHE1A,WHE1B,WHE2A,WHE2B,ZET1A,ZET1B,ZET2A,ZET2B
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterolonchidae;s__;g__Homaledra;s__Janzen633BOLD:AAA0194,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__Janzen99BOLD:AAA0209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Chlamydastis;s__montywoodiBOLD:AAA0211,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__Anomologinae;g__Aristotelia;s__Janzen257BOLD:AAA0214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__Janzen44BOLD:AAA0220,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__Phillips543BOLD:AAA0238,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Cerconota;s__impresellaEPR03BOLD:AAA0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Antaeotricha;s__Phillips21BOLD:AAA0248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Lamprosema;s__BioLep325BOLD:AAA0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Crambinae;g__Microcramboides;s__BioLep414BOLD:AAA0265,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Herpetogramma;s__sp.2YBBOLD:AAA0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Crambinae;g__cramBioLep01;s__BioLep661BOLD:AAA0286,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;s__Olethreutinae;g__gelJanzen01;s__verutanaBOLD:AAA0293,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Acentropinae;g__acentroBioLep01;s__BioLep702BOLD:AAA0297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;s__Chrysauginae;g__chryBioLep01;s__BioLep554BOLD:AAA0306,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Apilocrocis;s__excelsalisBOLD:AAA0332,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Apogeshna;s__stenialisDHJ02BOLD:AAA0336,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Blepharomastix;s__sp.1YBBOLD:AAA0338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
