OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	260	7	7	97.31	0.00	457.87	32.32	0
OTU2	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	201	12	12	94.03	0.00	457	33.55	0
OTU3	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.76	197	23	23	88.32	0.00	398.46	33.89	0
OTU4	Arthropoda	Insecta	Coleoptera					91.65	115	10	10	91.30	0.00	456.94	30.14	0
OTU5	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	114	12	12	89.47	0.00	452.9	39.4	0
OTU6	Arthropoda	Insecta	Diptera					96.47	98	3	3	96.94	0.00	457.95	39.51	0
OTU7	Arthropoda	Insecta	Blattodea					94.49	93	2	2	97.85	0.00	457.7	30.15	0
OTU8	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	92	3	3	96.74	0.00	457.86	31.23	0
OTU9								0.00	85	4	1	95.29	75.00	457.55	32.56	0
OTU10	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachBioLep01	elachBioLep01 BioLep5405	95.40	81	2	2	97.53	0.00	457.94	32.97	0
OTU11	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.47	68	5	5	92.65	0.00	457.57	37.35	0
OTU12	Arthropoda	Insecta	Coleoptera	Scarabaeidae				93.55	64	2	2	96.88	0.00	457.86	34.95	0
OTU13	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga sp	90.57	63	5	2	92.06	60.00	457.75	37.89	0
OTU14								0.00	62	1	1	98.39	0.00	458	35.15	0
OTU15	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga densata	97.53	59	3	3	94.92	0.00	456.95	37.19	0
OTU16	Arthropoda	Insecta	Diptera					91.41	57	2	2	96.49	0.00	458	39.79	0
OTU17	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	49	6	6	87.76	0.00	387.94	30.03	0
OTU18								0.00	46	2	1	95.65	50.00	457.59	33.56	0
OTU19	Arthropoda	Insecta	Psocodea	Psocidae				91.75	41	2	2	95.12	0.00	458.12	33.62	0
OTU20	Arthropoda	Insecta	Lepidoptera					90.33	37	1	1	97.30	0.00	458	30.35	0
OTU21	Arthropoda	Insecta	Lepidoptera					95.38	35	2	2	94.29	0.00	457.8	31.19	0
OTU22								0.00	34	4	1	88.24	75.00	458.59	32.75	0
OTU24								0.00	31	2	1	93.55	50.00	457.84	33.2	0
