OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.58	884	21	21	97.62	0.00	458.01	33.84	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	440	10	10	97.73	0.00	457.91	37.99	0
OTU3	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.80	402	12	12	97.01	0.00	457.72	37.66	0
OTU4								0.00	265	5	1	98.11	80.00	457.73	34.74	0
OTU5	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	195	7	7	96.41	0.00	457.74	31.06	0
OTU6	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	190	9	9	95.26	0.00	457.03	33.64	0
OTU7	Arthropoda	Insecta	Diptera					97.17	153	6	6	96.08	0.00	392.33	41.49	0
OTU8	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	111	13	13	88.29	0.00	398.48	33.82	0
OTU9								0.00	88	3	1	96.59	66.67	457.84	35.17	0
OTU10	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	83	5	5	93.98	0.00	457.71	39.34	0
OTU11								0.00	74	5	1	93.24	80.00	457.43	37.76	0
OTU12	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga chiriquina	95.61	64	9	9	85.94	0.00	414.13	39.1	0
OTU13	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.68	62	2	2	96.77	0.00	457.74	33.86	0
OTU14	Arthropoda	Insecta	Coleoptera	Lycidae				97.57	54	3	3	94.44	0.00	457.89	37.41	0
OTU15								0.00	41	4	1	90.24	75.00	458.15	33.08	0
OTU16	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	39	2	2	94.87	0.00	458.23	34.04	0
OTU17	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga morganellaASolis02	97.91	36	4	4	88.89	0.00	446	38.78	0
OTU18	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.22	34	3	3	91.18	0.00	458.12	29.91	0
OTU19	Arthropoda	Insecta	Diptera					96.25	33	1	1	96.97	0.00	458	39.52	0
OTU21								0.00	33	2	1	93.94	50.00	458.33	40.58	0
OTU20	Arthropoda	Insecta	Lepidoptera	Tineidae				97.74	33	2	2	93.94	0.00	458.55	35.23	0
OTU22	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga chiriquina	94.09	30	2	2	93.33	0.00	457.73	39.76	0
OTU24	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	Rejectaria	Rejectaria niciasalis	93.65	28	2	2	92.86	0.00	457.61	31.03	0
OTU23	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	28	2	2	92.86	0.00	458	34.22	0
OTU25	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma		97.58	27	3	3	88.89	0.00	457.93	34.07	0
OTU26								0.00	27	2	1	92.59	50.00	457.3	36.37	0
OTU28	Arthropoda	Insecta	Blattodea					94.27	22	3	3	86.36	0.00	458.14	30.87	0
OTU27	Arthropoda	Insecta	Coleoptera	Chelonariidae				91.56	22	2	2	90.91	0.00	458.23	34.97	0
OTU30	Arthropoda	Insecta	Lepidoptera	Erebidae				97.58	21	3	3	85.71	0.00	457.76	31.89	0
OTU31	Arthropoda	Insecta	Diptera	Cecidomyiidae				92.07	21	1	1	95.24	0.00	458	26.2	0
OTU29	Arthropoda	Insecta	Lepidoptera	Coleophoridae	Coleophorinae	Coleophora	Coleophora epijudaica	90.37	21	3	3	85.71	0.00	458.19	32.61	0
OTU32								0.00	20	1	1	95.00	0.00	458	28.82	0
OTU34								0.00	19	2	1	89.47	50.00	459	26.51	0
OTU33								0.00	19	2	1	89.47	50.00	457.63	30.59	0
OTU36								0.00	18	1	1	94.44	0.00	458	37.77	0
OTU35								0.00	18	3	1	83.33	66.67	457.61	32.63	0
OTU38								0.00	17	2	1	88.24	50.00	457.41	28.86	0
