OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	1136	69	69	93.93	0.00	443.56	39.59	0
OTU2								0.00	330	17	1	94.85	94.12	457.36	45.15	0
OTU3								0.00	273	7	1	97.44	85.71	457.97	35.83	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	230	8	8	96.52	0.00	458.29	30.33	0
OTU5	Arthropoda	Insecta	Blattodea	Ectobiidae				97.81	197	7	7	96.45	0.00	457.77	38.22	0
OTU6	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	135	7	7	94.81	0.00	456.83	29.76	0
OTU7								0.00	95	4	1	95.79	75.00	457.91	33.41	0
OTU8								0.00	72	2	1	97.22	50.00	457.88	40.4	0
OTU9	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01	geleBioLep01 BioLep4740	91.90	71	6	6	91.55	0.00	456.89	32.9	0
OTU10	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	69	4	4	94.20	0.00	457.83	34.04	0
OTU11								0.00	53	2	1	96.23	50.00	457.91	37.13	0
OTU12	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	97.12	47	4	4	91.49	0.00	457.28	30.89	0
OTU13	Arthropoda	Insecta	Diptera					93.86	46	3	3	93.48	0.00	457.98	33.41	0
OTU14	Arthropoda	Insecta	Blattodea	Blaberidae				96.05	45	2	2	95.56	0.00	457.87	35.38	0
OTU15								0.00	44	2	1	95.45	50.00	457.86	33.82	0
OTU16								0.00	43	1	1	97.67	0.00	458	30.79	0
OTU17								0.00	42	3	1	92.86	66.67	457.83	33.88	0
OTU18	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	37	1	1	97.30	0.00	458	34.28	0
OTU19	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	36	2	2	94.44	0.00	457.67	37.58	0
OTU20								0.00	34	1	1	97.06	0.00	458	34.5	0
OTU21	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelMalaise01	gelMalaise01 Malaise8081	94.75	33	3	3	90.91	0.00	458.3	28.03	0
OTU23								0.00	32	1	1	96.88	0.00	458	33.62	0
OTU22	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01	gelBioLep01 BioLep1366	90.59	32	1	1	96.88	0.00	458	29.48	0
OTU24	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	31	2	2	93.55	0.00	456.81	33.49	0
OTU25	Arthropoda	Insecta	Coleoptera	Tenebrionidae				92.09	29	3	3	89.66	0.00	458	44.9	0
OTU26	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.03	29	2	2	93.10	0.00	457.55	34.09	0
OTU27	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.36	28	3	3	89.29	0.00	458	26.82	0
OTU28	Arthropoda	Insecta	Lepidoptera	Psychidae				93.61	27	2	2	92.59	0.00	458	32.76	0
OTU29	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae			96.05	24	3	3	87.50	0.00	458.21	30.21	0
OTU30	Arthropoda	Insecta	Lepidoptera					96.04	23	3	3	86.96	0.00	457.26	30.94	0
