OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	1105	62	62	94.39	0.00	446.47	39.57	0
OTU2								0.00	330	18	1	94.55	94.44	457.23	45.14	0
OTU3								0.00	301	6	1	98.01	83.33	458	35.82	0
OTU4	Arthropoda	Insecta	Blattodea	Ectobiidae				97.81	258	10	10	96.12	0.00	457.74	38.23	0
OTU5	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	198	12	12	93.94	0.00	447.78	29.78	0
OTU6	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	174	5	5	97.13	0.00	458.24	30.33	0
OTU7								0.00	93	3	1	96.77	66.67	457.96	40.41	0
OTU8								0.00	85	3	1	96.47	66.67	457.82	33.42	0
OTU9	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01	geleBioLep01 BioLep4740	91.90	80	6	6	92.50	0.00	457.38	32.91	0
OTU10								0.00	71	4	1	94.37	75.00	458.1	30.78	0
OTU11	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	60	2	2	96.67	0.00	457.87	34.07	0
OTU12								0.00	60	2	1	96.67	50.00	457.7	33.8	0
OTU13	Arthropoda	Insecta	Blattodea	Blaberidae				96.05	60	2	2	96.67	0.00	457.82	35.39	0
OTU14	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen245	94.08	56	3	3	94.64	0.00	457.14	31.99	0
OTU15								0.00	47	2	1	95.74	50.00	457.81	37.13	0
OTU16								0.00	42	1	1	97.62	0.00	458	33.84	0
OTU17								0.00	42	2	1	95.24	50.00	457.79	33.64	0
OTU18	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	39	2	2	94.87	0.00	457.82	37.57	0
OTU19	Arthropoda	Insecta	Diptera					93.86	39	2	2	94.87	0.00	457.87	33.42	0
OTU20	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01	gelBioLep01 BioLep1366	90.59	37	1	1	97.30	0.00	458	29.48	0
OTU21	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelMalaise01	gelMalaise01 Malaise8081	94.75	35	4	4	88.57	0.00	457.77	28.04	0
OTU22	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.36	34	3	3	91.18	0.00	458	26.82	0
OTU23								0.00	32	1	1	96.88	0.00	458	34.5	0
OTU25	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	28	2	2	92.86	0.00	457.36	33.53	0
OTU24	Arthropoda	Insecta	Lepidoptera	Noctuidae	Agaristinae	Leucovis	Leucovis alba	90.59	28	4	4	85.71	0.00	458.5	31.62	0
OTU27	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.03	25	2	2	92.00	0.00	457.64	34.09	0
OTU26	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	25	1	1	96.00	0.00	458	34.28	0
OTU28	Arthropoda	Insecta	Lepidoptera	Psychidae				93.61	24	1	1	95.83	0.00	458	32.97	0
OTU32	Arthropoda	Insecta	Lepidoptera	Tineidae				95.38	23	1	1	95.65	0.00	458	31	0
OTU30	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	97.12	23	2	2	91.30	0.00	457.52	30.88	0
OTU31	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae			96.05	23	2	2	91.30	0.00	458	30.25	0
OTU29	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Goniohelia	Goniohelia pangraptica	97.81	23	1	1	95.65	0.00	458	30.57	0
OTU33	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	21	2	2	90.48	0.00	457.71	27.09	0
OTU34	Arthropoda	Insecta	Diptera					95.38	20	1	1	95.00	0.00	458	37.99	0
OTU35	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	95.16	19	3	3	84.21	0.00	456.37	36.73	0
OTU36	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	17	2	2	88.24	0.00	458	34.78	0
OTU38	Arthropoda	Insecta	Lepidoptera	Crambidae	Scopariinae	Eudonia	Eudonia stenota	90.57	15	1	1	93.33	0.00	457	28.67	0
OTU39	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.37	15	1	1	93.33	0.00	458	33.84	0
OTU37	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	15	3	3	80.00	0.00	459.67	39.23	0
OTU40	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.27	15	1	1	93.33	0.00	458	31.66	0
OTU43	Arthropoda	Insecta	Orthoptera					90.81	14	2	2	85.71	0.00	458.43	35.12	0
OTU42								0.00	14	1	1	92.86	0.00	458	33.41	0
OTU41								0.00	14	2	1	85.71	50.00	457.64	42.09	0
