OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	677	17	17	97.49	0.00	458.4	30.32	0
OTU2	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	278	6	6	97.84	0.00	457.91	32.32	0
OTU3	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	102	5	5	95.10	0.00	456.9	33.53	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	90	8	8	91.11	0.00	413.82	29.76	0
OTU5								0.00	85	5	1	94.12	80.00	457.99	37.57	0
OTU6	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	62	5	5	91.94	0.00	457.73	39.72	0
OTU7								0.00	62	4	1	93.55	75.00	429.35	34.9	0
OTU8	Arthropoda	Insecta	Lepidoptera					90.33	49	1	1	97.96	0.00	458	30.35	0
OTU9	Arthropoda	Insecta	Lepidoptera					91.25	48	3	2	93.75	33.33	458.06	29.29	0
OTU10	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	44	2	2	95.45	0.00	457.89	34.26	0
OTU11	Arthropoda	Insecta	Lepidoptera					94.96	44	3	3	93.18	0.00	457.98	29.48	0
OTU12	Arthropoda	Insecta	Lepidoptera	Tineidae				91.68	44	2	2	95.45	0.00	458.11	31.65	0
OTU13								0.00	42	2	1	95.24	50.00	458	35.42	0
OTU14	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.96	34	1	1	97.06	0.00	458	34.28	0
OTU15								0.00	33	2	1	93.94	50.00	457.82	37.13	0
OTU17	Arthropoda	Insecta	Blattodea	Ectobiidae				95.82	32	2	2	93.75	0.00	457.69	37.58	0
OTU16	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	Metalectra		95.19	32	3	3	90.63	0.00	416.47	29.74	0
OTU18	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	31	2	2	93.55	0.00	457.77	25.56	0
OTU19	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen245	94.09	28	1	1	96.43	0.00	458	31.88	0
OTU20								0.00	26	2	1	92.31	50.00	457.77	41.07	0
OTU21	Arthropoda	Insecta	Diptera					96.25	26	1	1	96.15	0.00	458	39.52	0
OTU22	Arthropoda	Insecta	Lepidoptera					90.59	25	1	1	96.00	0.00	458	29.69	0
OTU24	Arthropoda	Insecta	Lepidoptera	Pyralidae				90.15	24	2	2	91.67	0.00	458	31.37	0
OTU23	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.05	24	2	2	91.67	0.00	458	36.13	0
OTU25	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	22	2	2	90.91	0.00	457.77	27.09	0
OTU26								0.00	22	2	1	90.91	50.00	457.77	35.17	0
OTU27	Arthropoda	Insecta	Diptera	Ceratopogonidae				97.80	21	1	1	95.24	0.00	457	33.26	0
OTU28	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep546	97.81	19	2	2	89.47	0.00	457.74	29.93	0
OTU30	Arthropoda	Insecta	Lepidoptera	Gelechiidae				95.15	17	3	3	82.35	0.00	410.35	31.19	0
OTU29								0.00	17	1	1	94.12	0.00	458	33.41	0
OTU31								0.00	16	2	1	87.50	50.00	458	33.12	0
OTU32	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Perola	Perola aenea	93.20	15	2	2	86.67	0.00	457.6	32.34	0
OTU34	Arthropoda	Insecta	Hemiptera					94.51	14	1	1	92.86	0.00	458	32.97	0
OTU33								0.00	14	2	1	85.71	50.00	457.64	33.87	0
OTU36								0.00	13	2	1	84.62	50.00	458.46	39.36	0
OTU35	Arthropoda	Insecta	Lepidoptera					97.36	13	2	2	84.62	0.00	456.54	28.48	0
OTU38								0.00	12	1	1	91.67	0.00	458	35.37	0
OTU39	Arthropoda	Insecta	Lepidoptera	Geometridae		geoJanzen01	geoJanzen01 Janzen816	96.26	12	1	1	91.67	0.00	457	29.54	0
OTU37	Arthropoda	Insecta	Lepidoptera					96.47	12	1	1	91.67	0.00	458	31.88	0
OTU41								0.00	11	2	1	81.82	50.00	457.55	33.9	0
OTU40	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.81	11	1	1	90.91	0.00	458	24.02	0
OTU44								0.00	10	1	1	90.00	0.00	458	32.1	0
OTU43								0.00	10	1	1	90.00	0.00	458	33.41	0
OTU42	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	Megalopyge	Megalopyge Janzen03	96.51	10	1	1	90.00	0.00	458	32.53	0
OTU46	Arthropoda	Insecta	Diptera					97.36	9	1	1	88.89	0.00	458	25.76	0
OTU45	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01		96.18	9	1	1	88.89	0.00	458	26.86	0
OTU49	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	8	1	1	87.50	0.00	458	34.72	0
OTU48	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.22	8	1	1	87.50	0.00	458	29.91	0
