OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	1512	30	30	98.02	0.00	458.4	30.33	0
OTU2	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	665	14	14	97.89	0.00	457.88	32.32	0
OTU3	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	587	31	31	94.72	0.00	432.28	29.95	0
OTU4								0.00	267	21	1	92.13	95.24	416.32	35	0
OTU5	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	266	12	12	95.49	0.00	456.95	33.54	0
OTU6								0.00	161	6	1	96.27	83.33	457.91	37.58	0
OTU7	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	157	8	8	94.90	0.00	457.67	39.66	0
OTU8	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	Metalectra		95.19	120	9	9	92.50	0.00	427.16	29.82	0
OTU9	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.97	109	7	7	93.58	0.00	457.92	27.19	0
OTU10	Arthropoda	Insecta	Lepidoptera					90.33	108	2	2	98.15	0.00	457.93	30.35	0
OTU11	Arthropoda	Insecta	Lepidoptera					94.96	108	3	3	97.22	0.00	457.94	29.48	0
OTU12	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.96	83	3	3	96.39	0.00	457.99	34.3	0
OTU13								0.00	82	2	1	97.56	50.00	458	35.42	0
OTU14	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen245	94.09	80	4	4	95.00	0.00	458.11	31.91	0
OTU15	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.22	72	4	4	94.44	0.00	457.78	29.93	0
OTU16	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	69	3	3	95.65	0.00	457.86	25.58	0
OTU17	Arthropoda	Insecta	Lepidoptera					91.25	69	4	2	94.20	50.00	458.16	29.28	0
OTU18	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	68	2	2	97.06	0.00	457.93	34.27	0
OTU19	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.05	68	6	6	91.18	0.00	458	36.07	0
OTU20								0.00	64	4	1	93.75	75.00	457.73	37.58	0
OTU21	Arthropoda	Insecta	Lepidoptera					90.79	62	4	4	93.55	0.00	457.85	29.72	0
OTU22	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.81	59	2	2	96.61	0.00	457.81	24.03	0
OTU23								0.00	53	2	1	96.23	50.00	457.81	41.06	0
OTU25	Arthropoda	Insecta	Blattodea	Ectobiidae				95.82	52	2	2	96.15	0.00	457.73	37.58	0
OTU24								0.00	52	2	1	96.15	50.00	457.87	35.16	0
OTU26	Arthropoda	Insecta	Diptera	Ceratopogonidae				97.80	51	2	2	96.08	0.00	456.9	33.27	0
OTU27								0.00	44	2	1	95.45	50.00	457.89	33.41	0
OTU29	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01	geleBioLep01 BioLep1180	91.47	42	1	1	97.62	0.00	458	31.66	0
