OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Diptera	Stratiomyidae				97.81	203	8	8	96.06	0.00	457.78	34.76	0
OTU2	Arthropoda	Insecta	Mantodea	Mantoididae		Mantoida	Mantoida brunneriana	94.09	103	5	5	95.15	0.00	458.13	33.87	0
OTU3	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	91	8	8	91.21	0.00	457.13	33.56	0
OTU4								0.00	89	7	1	92.13	85.71	458.83	26.48	0
OTU5	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	85	4	4	95.29	0.00	457.93	32.16	0
OTU6	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.77	83	3	3	96.39	0.00	456.77	35.21	0
OTU7								0.00	72	3	1	95.83	66.67	457.71	36.65	0
OTU8								0.00	45	3	1	93.33	66.67	457.58	35.19	0
OTU9	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes juvenalisDHJ02	97.81	41	3	3	92.68	0.00	456.98	32.6	0
OTU10	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.47	37	2	2	94.59	0.00	457.7	33.65	0
OTU11								0.00	32	2	1	93.75	50.00	457.84	33.85	0
OTU12	Arthropoda	Insecta	Lepidoptera					94.96	31	3	3	90.32	0.00	458.03	29.47	0
OTU13								0.00	31	2	1	93.55	50.00	457.35	36.37	0
OTU14	Arthropoda	Insecta	Lepidoptera	Erebidae				95.61	28	3	3	89.29	0.00	458.96	29.06	0
OTU15	Arthropoda	Insecta	Neuroptera	Mantispidae	Mantispinae	Leptomantispa	Leptomantispa antillesensis	91.90	28	2	2	92.86	0.00	457.82	31.67	0
OTU16	Arthropoda	Insecta	Diptera					96.25	22	1	1	95.45	0.00	458	39.52	0
OTU17	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	20	3	3	85.00	0.00	457.4	39.42	0
OTU18	Arthropoda	Insecta	Lepidoptera					91.85	19	2	2	89.47	0.00	456.74	29.78	0
OTU19	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	acroBioLep01	acroBioLep01 BioLep18	94.97	18	2	2	88.89	0.00	457.44	35.85	0
OTU21	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae			93.65	16	2	2	87.50	0.00	457.69	30.37	0
OTU20	Arthropoda	Insecta	Lepidoptera	Cosmopterigidae	Chrysopeleiinae			97.59	16	1	1	93.75	0.00	458	30.13	0
OTU24	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae			90.59	15	1	1	93.33	0.00	458	31	0
OTU23								0.00	15	1	1	93.33	0.00	458	41.27	0
OTU22	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.75	15	2	2	86.67	0.00	457.53	34.21	0
OTU25	Arthropoda	Insecta	Diptera	Phoridae				92.11	13	2	2	84.62	0.00	457.38	32.36	0
OTU26	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelMalaise01	gelMalaise01 Malaise8081	94.75	13	2	2	84.62	0.00	457.54	27.98	0
OTU29	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep1004	96.93	12	2	2	83.33	0.00	458	32.53	0
OTU28	Arthropoda	Insecta	Coleoptera	Carabidae				94.29	12	1	1	91.67	0.00	458	31.22	0
OTU27								0.00	12	1	1	91.67	0.00	458	37.12	0
OTU32								0.00	11	2	1	81.82	50.00	458	35.25	0
OTU33	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma		96.04	11	1	1	90.91	0.00	458	33.19	0
OTU30	Arthropoda	Insecta	Lepidoptera	Elachistidae	Agonoxeninae	agoMalaise01	agoMalaise01 Malaise5228	93.44	11	1	1	90.91	0.00	458	33.41	0
OTU31	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	11	1	1	90.91	0.00	458	34.28	0
OTU34	Arthropoda	Insecta	Lepidoptera	Depressariidae	Depressariinae	Gonada	Gonada cabima	96.93	10	2	2	80.00	0.00	457	32.17	0
OTU38	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	9	1	1	88.89	0.00	458	34.72	0
OTU39								0.00	9	1	1	88.89	0.00	458	35.81	0
OTU36	Arthropoda	Insecta	Coleoptera	Ptinidae	Anobiinae			91.03	9	1	1	88.89	0.00	458	30.79	0
OTU37	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga densata	92.15	9	1	1	88.89	0.00	458	39.3	0
OTU35								0.00	9	1	1	88.89	0.00	459	33.77	0
OTU40	Arthropoda	Insecta	Coleoptera	Ptinidae				96.48	9	1	1	88.89	0.00	458	34.93	0
OTU46								0.00	8	1	1	87.50	0.00	458	29.04	0
OTU45								0.00	8	1	1	87.50	0.00	458	34.93	0
