OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	1280	30	1	97.66	96.67	457.07	40.63	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.58	1010	19	19	98.12	0.00	457.99	33.83	0
OTU3	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	791	18	18	97.72	0.00	458.44	30.32	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae				95.15	496	36	36	92.74	0.00	418.65	30.01	0
OTU5	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	300	19	19	93.67	0.00	456.94	33.5	0
OTU6	Arthropoda	Insecta	Blattodea	Blaberidae				96.05	169	7	7	95.86	0.00	457.88	35.29	0
OTU7	Arthropoda	Insecta	Lepidoptera	Cossidae	Hypoptinae	Langsdorfia	Langsdorfia luniferaDHJ04	97.66	144	5	5	96.53	0.00	457.88	34.49	0
OTU8	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	139	5	5	96.40	0.00	457.86	32.32	0
OTU9	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep168	95.62	111	3	3	97.30	0.00	457.81	31.24	0
OTU10	Arthropoda	Insecta	Blattodea	Ectobiidae				95.43	105	4	4	96.19	0.00	457.92	28.42	0
OTU11	Arthropoda	Insecta	Lepidoptera					90.33	86	2	2	97.67	0.00	457.92	30.35	0
OTU12								0.00	73	3	1	95.89	66.67	458.23	30.55	0
OTU13	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	96.49	68	3	3	95.59	0.00	457.94	30.59	0
OTU14								0.00	67	2	1	97.01	50.00	457.81	32.11	0
OTU15								0.00	58	3	1	94.83	66.67	457.66	32.78	0
OTU16	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachBioLep01	elachBioLep01 BioLep5405	95.40	57	2	2	96.49	0.00	458.09	32.98	0
OTU17								0.00	56	6	1	89.29	83.33	457.91	37.83	0
OTU18	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	56	2	2	96.43	0.00	458	34.19	0
OTU19								0.00	55	3	1	94.55	66.67	457.24	33.59	0
OTU20								0.00	51	2	1	96.08	50.00	458	38.45	0
OTU21	Arthropoda	Insecta	Coleoptera	Lycidae				97.79	50	3	3	94.00	0.00	457.78	37.21	0
OTU22	Arthropoda	Insecta	Coleoptera	Tenebrionidae				91.65	46	7	7	84.78	0.00	457.78	45.08	0
OTU24	Arthropoda	Insecta	Lepidoptera	Tineidae				95.15	40	4	4	90.00	0.00	458	33.56	0
OTU23	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep1004	96.93	40	2	2	95.00	0.00	458.15	32.55	0
OTU25								0.00	37	3	1	91.89	66.67	458.27	32.98	0
OTU26	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes valida	92.78	35	2	2	94.29	0.00	458	33.25	0
OTU27	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachBioLep01	elachBioLep01 BioLep275	95.62	33	3	3	90.91	0.00	457.73	30.92	0
OTU29	Arthropoda	Insecta	Lepidoptera					90.59	32	1	1	96.88	0.00	458	29.69	0
OTU28								0.00	32	2	1	93.75	50.00	457.84	32.98	0
OTU30	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes subclaraDHJ04	96.93	29	2	2	93.10	0.00	458.38	31.28	0
OTU31	Arthropoda	Insecta	Diptera					96.25	27	1	1	96.30	0.00	458	39.52	0
OTU32	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.25	26	3	3	88.46	0.00	457.73	37.36	0
OTU33								0.00	25	3	1	88.00	66.67	457.68	31.29	0
OTU34	Arthropoda	Insecta	Psocodea	Psocidae				92.01	24	2	2	91.67	0.00	458.21	33.39	0
OTU35	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.05	23	2	2	91.30	0.00	458	35.88	0
OTU36								0.00	21	2	1	90.48	50.00	457.38	31.79	0
OTU37	Arthropoda	Insecta	Lepidoptera					92.98	20	2	2	90.00	0.00	458.5	30.32	0
OTU38	Arthropoda	Insecta	Coleoptera	Chelonariidae				91.82	19	2	2	89.47	0.00	458	34.8	0
OTU39	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	19	2	2	89.47	0.00	457.74	27.09	0
OTU40	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	19	2	2	89.47	0.00	457.58	25.57	0
OTU43	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	18	2	2	88.89	0.00	457.33	39.58	0
OTU42								0.00	18	1	1	94.44	0.00	458	41.27	0
OTU41								0.00	18	1	1	94.44	0.00	458	33.19	0
OTU45								0.00	16	1	1	93.75	0.00	457	40.48	0
OTU44	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	16	2	2	87.50	0.00	457.5	37.6	0
OTU47	Arthropoda	Insecta	Lepidoptera	Tineidae				95.38	15	1	1	93.33	0.00	458	31	0
OTU46	Arthropoda	Insecta	Coleoptera	Scarabaeidae				93.05	15	1	1	93.33	0.00	458	34.72	0
OTU48	Arthropoda	Insecta	Lepidoptera	Tineidae				93.98	14	2	2	85.71	0.00	458	32.66	0
OTU49	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.47	13	1	1	92.31	0.00	458	33.62	0
OTU50	Arthropoda	Insecta	Hemiptera					97.37	12	2	2	83.33	0.00	457.58	35.62	0
OTU51	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	10	2	2	80.00	0.00	394.5	33.72	0
OTU52	Arthropoda	Insecta	Lepidoptera					94.75	10	1	1	90.00	0.00	458	29.48	0
OTU53								0.00	10	1	1	90.00	0.00	458	35.15	0
OTU54	Arthropoda	Insecta	Coleoptera	Carabidae				96.26	10	1	1	90.00	0.00	458	34.72	0
OTU58								0.00	9	1	1	88.89	0.00	458	30.79	0
OTU59	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.36	9	1	1	88.89	0.00	458	26.86	0
OTU55								0.00	9	1	1	88.89	0.00	458	26.42	0
OTU56								0.00	9	1	1	88.89	0.00	458	43.23	0
OTU57	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae	Diabrotica		90.72	9	1	1	88.89	0.00	458	36.24	0
OTU61	Arthropoda	Insecta	Hymenoptera	Crabronidae				90.15	8	1	1	87.50	0.00	458	26.64	0
OTU60	Arthropoda	Insecta	Coleoptera	Leiodidae				95.19	8	1	1	87.50	0.00	457	30.42	0
OTU63	Arthropoda	Insecta	Lepidoptera	Depressariidae				95.18	8	1	1	87.50	0.00	458	34.72	0
OTU62	Arthropoda	Insecta	Lepidoptera	Tineidae				91.65	8	1	1	87.50	0.00	458	31.66	0
OTU65	Arthropoda	Insecta	Lepidoptera	Geometridae	Sterrhinae	Tricentra	Tricentra sp. 5YB	90.37	8	1	1	87.50	0.00	458	32.31	0
OTU64								0.00	8	1	1	87.50	0.00	217	37.33	0
OTU67								0.00	8	1	1	87.50	0.00	458	39.3	0
OTU66	Arthropoda	Insecta	Coleoptera	Tenebrionidae				90.77	8	1	1	87.50	0.00	458	44.32	0
OTU69								0.00	7	1	1	85.71	0.00	458	35.15	0
OTU68	Arthropoda	Insecta	Coleoptera	Staphylinidae	Oxytelinae	Carpelimus		96.71	7	1	1	85.71	0.00	458	32.97	0
OTU72	Arthropoda	Insecta	Blattodea	Termitidae	Termitinae	Amitermes	Amitermes foreli	91.36	7	1	1	85.71	0.00	457	42.67	0
OTU73	Arthropoda	Insecta	Blattodea	Kalotermitidae		Neotermes	Neotermes holmgreni	97.59	7	1	1	85.71	0.00	458	38.43	0
OTU70								0.00	7	1	1	85.71	0.00	458	34.28	0
OTU71	Arthropoda	Insecta	Lepidoptera	Erebidae				96.69	7	1	1	85.71	0.00	457	32.6	0
OTU81								0.00	6	1	1	83.33	0.00	458	34.93	0
OTU80	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatinae	Plebejus	Plebejus sarta	90.61	6	1	1	83.33	0.00	458	30.13	0
OTU76	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Lophocampa	Lophocampa modesta	90.35	6	1	1	83.33	0.00	457	28.01	0
OTU77								0.00	6	1	1	83.33	0.00	458	39.74	0
OTU74	Arthropoda	Insecta	Lepidoptera	Gelechiidae				91.89	6	1	1	83.33	0.00	457	30.2	0
OTU75	Arthropoda	Insecta	Diptera					92.53	6	1	1	83.33	0.00	458	32.53	0
OTU78								0.00	6	1	1	83.33	0.00	458	44.32	0
OTU79	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Prepiella		95.84	6	1	1	83.33	0.00	458	30.79	0
OTU83	Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilioninae	Papilio	Papilio maackii ssp CBGPFLC_00067	90.17	5	1	1	80.00	0.00	458	29.91	0
OTU82	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.20	5	1	1	80.00	0.00	458	25.76	0
OTU87	Arthropoda	Insecta	Lepidoptera	Erebidae		ereBioLep01	ereBioLep01 BioLep656	96.27	5	1	1	80.00	0.00	458	30.57	0
OTU86	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae			90.15	5	1	1	80.00	0.00	458	31.44	0
OTU85	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.78	5	1	1	80.00	0.00	458	34.06	0
OTU84	Arthropoda	Insecta	Lepidoptera					90.81	5	1	1	80.00	0.00	458	29.91	0
OTU89	Arthropoda	Insecta	Lepidoptera	Erebidae				95.61	5	1	1	80.00	0.00	457	33.48	0
OTU88	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Nephodia		90.57	5	1	1	80.00	0.00	457	31.07	0
OTU94								0.00	5	1	1	80.00	0.00	458	38.21	0
OTU95	Arthropoda	Insecta	Coleoptera	Staphylinidae	Oxytelinae	Carpelimus	Carpelimus bilineatus	90.37	5	1	1	80.00	0.00	458	33.19	0
OTU96	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen128	96.05	5	1	1	80.00	0.00	458	33.19	0
OTU90	Arthropoda	Arachnida	Mesostigmata	Oplitidae				97.81	5	1	1	80.00	0.00	458	34.93	0
OTU91	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.54	5	1	1	80.00	0.00	458	34.28	0
OTU92								0.00	5	1	1	80.00	0.00	458	35.81	0
OTU93								0.00	5	1	1	80.00	0.00	458	45.2	0
