OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	1828	39	39	97.87	0.00	458.52	30.33	0
OTU2								0.00	323	8	1	97.52	87.50	457.84	35.15	0
OTU3	Arthropoda	Insecta	Blattodea	Ectobiidae				97.81	295	8	8	97.29	0.00	457.84	38.22	0
OTU4	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.42	190	6	6	96.84	0.00	457.97	29.91	0
OTU5	Arthropoda	Insecta	Diptera					96.25	163	6	6	96.32	0.00	458.02	39.52	0
OTU6	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	96.92	120	5	5	95.83	0.00	457.8	31.01	0
OTU7	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	104	6	6	94.23	0.00	457.02	29.77	0
OTU8								0.00	90	4	1	95.56	75.00	458.14	30.78	0
OTU9	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Macronematinae	Leptonema	Leptonema sinuatum	97.37	75	4	4	94.67	0.00	457.49	38.41	0
OTU10	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen245	94.08	71	3	3	95.77	0.00	457.27	31.99	0
OTU11	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha		97.59	64	2	2	96.88	0.00	457.83	32.07	0
OTU12	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.27	62	3	3	95.16	0.00	457.98	31.66	0
OTU13	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	58	4	4	93.10	0.00	456.9	33.49	0
OTU14	Arthropoda	Insecta	Hemiptera					94.51	55	2	2	96.36	0.00	458	32.99	0
OTU15	Arthropoda	Insecta	Lepidoptera					96.49	54	1	1	98.15	0.00	458	31.88	0
OTU16	Arthropoda	Insecta	Diptera	Keroplatidae				92.76	54	4	4	92.59	0.00	458.13	29.93	0
OTU17	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	50	7	7	86.00	0.00	392.98	33.86	0
OTU18	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01	geleBioLep01 BioLep4740	91.90	46	6	6	86.96	0.00	457.24	32.91	0
OTU19	Arthropoda	Insecta	Lepidoptera	Tineidae				90.81	41	4	4	90.24	0.00	458.44	31.6	0
OTU20	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	94.74	41	5	5	87.80	0.00	456.88	37.18	0
OTU21	Arthropoda	Insecta	Lepidoptera	Crambidae	Musotiminae	Albusambia	Albusambia sp. 1YB	90.15	40	2	2	95.00	0.00	457.8	32.77	0
OTU22	Arthropoda	Insecta	Lepidoptera					91.25	39	2	2	94.87	0.00	457.87	29.27	0
OTU23								0.00	35	3	1	91.43	66.67	459.11	32.75	0
OTU24	Arthropoda	Insecta	Lepidoptera	Cossidae	Hypoptinae	Langsdorfia	Langsdorfia luniferaDHJ03	96.92	34	3	3	91.18	0.00	457.65	35.35	0
OTU25	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	32	3	3	90.63	0.00	458.06	27.12	0
OTU26								0.00	31	4	1	87.10	75.00	458	37.55	0
OTU29	Arthropoda	Insecta	Lepidoptera	Tineidae				95.38	29	3	3	89.66	0.00	457.83	31.02	0
OTU28								0.00	29	2	1	93.10	50.00	442.28	34.79	0
OTU27	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.27	29	4	4	86.21	0.00	458	35.98	0
OTU30	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	26	1	1	96.15	0.00	458	37.99	0
OTU31	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.77	26	2	2	92.31	0.00	456.54	35.16	0
OTU32	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.36	25	3	3	88.00	0.00	458	26.86	0
OTU33	Arthropoda	Insecta	Diptera	Phoridae				92.11	25	2	2	92.00	0.00	457.8	32.33	0
OTU34	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep1004	96.93	22	1	1	95.45	0.00	458	32.53	0
OTU35	Arthropoda	Insecta	Diptera					95.59	20	1	1	95.00	0.00	458	24.67	0
OTU36								0.00	19	1	1	94.74	0.00	458	27.51	0
OTU37	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep207	94.53	19	1	1	94.74	0.00	458	32.97	0
OTU38	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	18	2	2	88.89	0.00	457.72	39.54	0
OTU39	Arthropoda	Insecta	Lepidoptera	Geometridae	Sterrhinae	Idaea	Idaea BioLep243	97.81	18	1	1	94.44	0.00	458	31	0
OTU41	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachBioLep01	elachBioLep01 BioLep262	96.27	17	1	1	94.12	0.00	458	30.35	0
OTU40	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.25	17	2	2	88.24	0.00	458	37.45	0
OTU42	Arthropoda	Insecta	Diptera	Chironomidae				96.04	16	1	1	93.75	0.00	458	36.9	0
OTU44	Arthropoda	Insecta	Lepidoptera	Tineidae				97.14	15	2	2	86.67	0.00	457.6	29.06	0
OTU43								0.00	15	2	1	86.67	50.00	457.6	38.24	0
OTU45								0.00	14	1	1	92.86	0.00	458	32.31	0
OTU48								0.00	13	1	1	92.31	0.00	276	42.39	0
OTU47	Arthropoda	Insecta	Lepidoptera					92.53	13	2	2	84.62	0.00	457.62	31.9	0
OTU46								0.00	13	1	1	92.31	0.00	458	35.37	0
OTU49	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	acroBioLep01	acroBioLep01 BioLep18	94.97	12	1	1	91.67	0.00	458	35.81	0
OTU50	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	12	1	1	91.67	0.00	458	25.55	0
OTU51	Arthropoda	Insecta	Hemiptera	Delphacidae				94.74	12	1	1	91.67	0.00	458	38.21	0
OTU52	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.49	12	1	1	91.67	0.00	458	35.81	0
