OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota sp	96.59	324	25	25	92.28	0.00	449	39.49	0
OTU2								0.00	152	11	1	92.76	90.91	457.28	45.16	0
OTU3								0.00	117	3	1	97.44	66.67	457.83	35.82	0
OTU4	Arthropoda	Insecta	Blattodea	Ectobiidae				97.81	88	3	3	96.59	0.00	457.88	38.23	0
OTU5	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	81	3	3	96.30	0.00	457.09	29.75	0
OTU6	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	65	3	3	95.38	0.00	458.28	30.33	0
OTU7								0.00	61	2	1	96.72	50.00	457.87	33.42	0
OTU8								0.00	52	2	1	96.15	50.00	457.88	40.4	0
OTU9	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01	geleBioLep01 BioLep4740	91.90	49	5	5	89.80	0.00	457.12	32.9	0
OTU10	Arthropoda	Insecta	Blattodea	Blaberidae				96.05	33	2	2	93.94	0.00	457.79	35.39	0
OTU11								0.00	33	2	1	93.94	50.00	457.61	33.79	0
OTU12								0.00	32	1	1	96.88	0.00	458	30.79	0
OTU14	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	23	1	1	95.65	0.00	458	34.06	0
OTU13								0.00	23	2	1	91.30	50.00	457.78	37.14	0
OTU15								0.00	22	1	1	95.45	0.00	458	33.84	0
OTU16								0.00	19	1	1	94.74	0.00	458	34.5	0
OTU17	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.36	18	2	2	88.89	0.00	458	26.86	0
OTU18	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	14	1	1	92.86	0.00	457	33.48	0
OTU19	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae			96.05	14	2	2	85.71	0.00	458	30.24	0
OTU20	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	97.12	14	2	2	85.71	0.00	457.36	30.91	0
OTU21	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.03	13	2	2	84.62	0.00	457.62	34.09	0
OTU22	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen245	94.08	13	1	1	92.31	0.00	457	31.95	0
OTU23	Arthropoda	Insecta	Lepidoptera	Noctuidae	Agaristinae	Leucovis	Leucovis alba	90.37	12	2	2	83.33	0.00	458.5	31.62	0
OTU24	Arthropoda	Insecta	Diptera					96.25	11	1	1	90.91	0.00	458	39.52	0
OTU25	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	10	1	1	90.00	0.00	458	34.72	0
OTU29	Arthropoda	Insecta	Lepidoptera	Gracillariidae	Acrocercopinae	Acrocercops		90.81	9	1	1	88.89	0.00	458	29.26	0
OTU28	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	9	1	1	88.89	0.00	458	34.28	0
OTU27	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01	gelBioLep01 BioLep1366	90.59	9	1	1	88.89	0.00	458	29.48	0
OTU26	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelMalaise01	gelMalaise01 Malaise8081	94.75	9	1	1	88.89	0.00	458	27.95	0
OTU32	Arthropoda	Insecta	Diptera					93.86	8	1	1	87.50	0.00	458	33.41	0
OTU33	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.27	8	1	1	87.50	0.00	458	31.66	0
OTU30	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Chlamydastis	Chlamydastis arenaria	96.71	8	1	1	87.50	0.00	458	35.15	0
OTU31	Arthropoda	Insecta	Lepidoptera	Psychidae				93.61	8	1	1	87.50	0.00	458	32.53	0
OTU36	Arthropoda	Insecta	Coleoptera	Tenebrionidae				90.99	7	1	1	85.71	0.00	458	44.1	0
OTU37	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	7	1	1	85.71	0.00	458	37.55	0
OTU34	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep1004	96.93	7	1	1	85.71	0.00	458	32.53	0
OTU35	Arthropoda	Insecta	Lepidoptera	Blastobasidae	Blastobasinae	blastoBioLep01	blastoBioLep01 BioLep5866	92.32	7	1	1	85.71	0.00	457	32.17	0
OTU38	Arthropoda	Insecta	Diptera					95.38	6	1	1	83.33	0.00	458	37.99	0
OTU39								0.00	6	1	1	83.33	0.00	458	35.15	0
OTU41	Arthropoda	Insecta	Coleoptera	Tenebrionidae				92.09	6	1	1	83.33	0.00	458	44.76	0
OTU40	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Goniohelia	Goniohelia pangraptica	97.81	6	1	1	83.33	0.00	458	30.57	0
OTU49	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	5	1	1	80.00	0.00	458	27.07	0
OTU48	Arthropoda	Insecta	Lepidoptera					95.59	5	1	1	80.00	0.00	458	30.79	0
OTU47	Arthropoda	Insecta	Lepidoptera	Crambidae	Scopariinae	Eudonia	Eudonia stenota	90.57	5	1	1	80.00	0.00	457	28.67	0
OTU46	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Helia	Helia exsiccata	90.15	5	1	1	80.00	0.00	458	32.97	0
OTU45	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	Fundella	Fundella argentina	90.37	5	1	1	80.00	0.00	458	32.97	0
OTU44	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota sp	96.49	5	1	1	80.00	0.00	460	39.35	0
OTU43	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	95.16	5	1	1	80.00	0.00	456	36.62	0
OTU42	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.37	5	1	1	80.00	0.00	458	33.84	0
