OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.58	634	11	11	98.26	0.00	457.99	33.84	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	385	7	7	98.18	0.00	457.91	37.99	0
OTU3	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	313	7	7	97.76	0.00	457.77	37.67	0
OTU4								0.00	222	6	1	97.30	83.33	457.72	34.74	0
OTU5	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	200	10	10	95.00	0.00	457.09	33.66	0
OTU6	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	183	8	8	95.63	0.00	457.73	31.05	0
OTU7								0.00	90	3	1	96.67	66.67	457.84	35.16	0
OTU8	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga morganellaASolis02	97.95	86	8	8	90.70	0.00	418.73	38.57	0
OTU9	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	71	5	5	92.96	0.00	457.2	29.79	0
OTU10	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.68	68	2	2	97.06	0.00	457.6	33.87	0
OTU12	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	60	10	10	83.33	0.00	391.63	33.96	0
OTU11	Arthropoda	Insecta	Diptera					94.05	60	3	3	95.00	0.00	458.08	41.08	0
OTU13								0.00	57	3	1	94.74	66.67	457.75	37.77	0
OTU14								0.00	51	4	1	92.16	75.00	459	32.75	0
OTU15	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	50	5	5	90.00	0.00	457.36	39.38	0
OTU16	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.22	46	3	3	93.48	0.00	457.83	29.92	0
OTU17	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga chiriquina	95.61	45	6	6	86.67	0.00	417.36	39.08	0
OTU18	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	43	3	3	93.02	0.00	458	34.06	0
OTU19	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma		97.58	42	4	4	90.48	0.00	458.19	34.07	0
OTU20	Arthropoda	Insecta	Coleoptera	Lycidae				97.57	36	3	3	91.67	0.00	457.78	37.4	0
OTU21	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	Rejectaria	Rejectaria niciasalis	93.65	35	2	2	94.29	0.00	457.8	31.02	0
OTU23								0.00	27	2	1	92.59	50.00	458	33.07	0
OTU22								0.00	27	1	1	96.30	0.00	458	28.82	0
OTU25								0.00	26	2	1	92.31	50.00	188.58	37.65	0
OTU24								0.00	26	2	1	92.31	50.00	457.81	34.08	0
OTU26								0.00	25	2	1	92.00	50.00	457.76	38.23	0
OTU27								0.00	23	2	1	91.30	50.00	457.65	37.8	0
OTU28	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.27	22	3	3	86.36	0.00	458	36	0
OTU29	Arthropoda	Insecta	Diptera					96.25	21	1	1	95.24	0.00	458	39.52	0
OTU30								0.00	18	2	1	88.89	50.00	457.72	28.4	0
OTU32								0.00	17	1	1	94.12	0.00	458	29.91	0
OTU31	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	17	2	2	88.24	0.00	458	34.2	0
OTU34	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep781	97.13	16	1	1	93.75	0.00	458	31	0
OTU33								0.00	16	1	1	93.75	0.00	458	40.61	0
OTU38	Arthropoda	Insecta	Lepidoptera	Erebidae				97.58	15	2	2	86.67	0.00	457.4	31.92	0
OTU39	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.25	15	1	1	93.33	0.00	458	37.34	0
