OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	2427	48	1	98.02	97.92	456.61	40.59	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.58	1532	38	38	97.52	0.00	457.85	33.8	0
OTU3	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	1306	25	25	98.09	0.00	458.54	30.32	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae				95.15	913	62	62	93.21	0.00	403.88	30.15	0
OTU5	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	454	23	23	94.93	0.00	457.16	33.55	0
OTU6	Arthropoda	Insecta	Blattodea	Blaberidae				96.05	302	13	13	95.70	0.00	457.91	35.28	0
OTU7	Arthropoda	Insecta	Lepidoptera	Cossidae	Hypoptinae	Langsdorfia	Langsdorfia luniferaDHJ04	97.90	246	7	7	97.15	0.00	457.7	34.49	0
OTU8	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	220	7	7	96.82	0.00	457.8	32.3	0
OTU9	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep168	95.84	206	7	7	96.60	0.00	457.71	31.21	0
OTU10	Arthropoda	Insecta	Lepidoptera					90.33	170	4	4	97.65	0.00	458.01	30.35	0
OTU11	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachBioLep01	elachBioLep01 BioLep5405	95.40	151	5	5	96.69	0.00	458.05	32.98	0
OTU12								0.00	133	5	1	96.24	80.00	457.68	32.77	0
OTU13	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.80	126	6	6	95.24	0.00	457.92	34.14	0
OTU14	Arthropoda	Insecta	Blattodea	Ectobiidae				95.43	125	4	4	96.80	0.00	458.14	28.38	0
OTU15	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	96.70	124	5	5	95.97	0.00	458.21	30.59	0
