OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep788	97.15	192	5	5	97.40	0.00	457.99	32.76	0
OTU2	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	169	10	10	94.08	0.00	456.67	33.5	0
OTU3	Arthropoda	Insecta	Lepidoptera					94.96	167	8	8	95.21	0.00	457.9	29.48	0
OTU4	Arthropoda	Insecta	Orthoptera					90.81	136	7	5	94.85	28.57	458.25	35.14	0
OTU5	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	100	7	7	93.00	0.00	387.97	29.89	0
OTU6								0.00	85	5	1	94.12	80.00	458.14	33.34	0
OTU7	Arthropoda	Insecta	Diptera	Phoridae	Metopininae	Metopina		97.94	84	4	4	95.24	0.00	457.98	38.39	0
OTU8	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Lagriinae			91.88	71	5	5	92.96	0.00	458.01	44.9	0
OTU9	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.22	71	4	4	94.37	0.00	457.97	29.91	0
OTU10								0.00	64	4	1	93.75	75.00	457.55	36.72	0
OTU11	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae			93.65	60	2	2	96.67	0.00	457.77	30.36	0
OTU12	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.47	56	2	2	96.43	0.00	457.57	33.66	0
OTU13	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.07	55	5	5	90.91	0.00	457.98	36	0
OTU14	Arthropoda	Insecta	Lepidoptera	Erebidae				97.58	49	4	4	91.84	0.00	457.84	31.89	0
OTU15	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.51	41	3	3	92.68	0.00	457.51	33.15	0
OTU16	Arthropoda	Insecta	Coleoptera					94.71	39	3	3	92.31	0.00	457.54	38.47	0
OTU17	Arthropoda	Insecta	Lepidoptera	Tineidae				95.38	37	2	2	94.59	0.00	457.81	31.02	0
OTU18	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	35	2	2	94.29	0.00	457.83	25.56	0
OTU19	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae			90.59	34	2	2	94.12	0.00	458.21	30.99	0
OTU20	Arthropoda	Insecta	Lepidoptera					90.33	34	1	1	97.06	0.00	458	30.35	0
OTU21	Arthropoda	Insecta	Lepidoptera	Geometridae	Sterrhinae	Tricentra	Tricentra sp. 5YB	90.59	33	2	2	93.94	0.00	457.76	32.11	0
OTU22	Arthropoda	Insecta	Diptera					96.25	31	2	2	93.55	0.00	458	39.55	0
OTU23								0.00	28	2	1	92.86	50.00	457.5	38.03	0
OTU24	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.75	26	2	2	92.31	0.00	457.54	34.21	0
OTU25	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	Antiblemma	Antiblemma Poole41	96.05	24	3	3	87.50	0.00	457.96	35.42	0
OTU26	Arthropoda	Insecta	Lepidoptera	Opostegidae		oposBioLep01	oposBioLep01 BioLep01	92.78	24	2	2	91.67	0.00	457.67	28.19	0
OTU30	Arthropoda	Insecta	Lepidoptera	Erebidae		erebidBioLep01	erebidBioLep01 BioLep736	94.75	23	3	3	86.96	0.00	457.91	32.37	0
OTU31	Arthropoda	Insecta	Lepidoptera					95.14	23	2	2	91.30	0.00	457.65	30.95	0
OTU29								0.00	23	3	1	86.96	66.67	457.78	34.73	0
OTU28	Arthropoda	Insecta	Psocodea	Psocidae				92.01	23	1	1	95.65	0.00	458	33.41	0
OTU27	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep1004	97.15	23	2	2	91.30	0.00	458	32.63	0
OTU34	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep546	97.81	22	2	2	90.91	0.00	457.73	29.93	0
OTU32	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachBioLep01	elachBioLep01 BioLep1494	97.59	22	3	3	86.36	0.00	458.91	30.51	0
OTU33	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	22	2	2	90.91	0.00	458.23	27.11	0
OTU36								0.00	19	2	1	89.47	50.00	457.58	30.6	0
OTU37	Arthropoda	Insecta	Lepidoptera	Noctuidae		Noctuidae_incertae_sedis	Noctuidae_incertae_sedis sp. 14YB	93.00	19	1	1	94.74	0.00	458	32.1	0
OTU35	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01	gelBioLep01 BioLep418	93.44	19	2	2	89.47	0.00	457.63	31.68	0
OTU38	Arthropoda	Insecta	Diptera					90.33	17	2	2	88.24	0.00	457.71	26	0
OTU39	Arthropoda	Insecta	Hymenoptera					92.95	17	2	2	88.24	0.00	458	27.22	0
OTU40	Arthropoda	Insecta	Coleoptera	Tenebrionidae				90.99	17	3	3	82.35	0.00	457.71	44.36	0
OTU43	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	16	1	1	93.75	0.00	458	34.28	0
OTU42	Arthropoda	Insecta	Lepidoptera					96.91	16	1	1	93.75	0.00	457	33.48	0
OTU41	Arthropoda	Insecta	Coleoptera	Tenebrionidae				90.35	16	1	1	93.75	0.00	458	43.89	0
OTU44	Arthropoda	Insecta	Lepidoptera	Depressariidae	Hypercalliinae	Hypercallia	Hypercallia syntoma	91.03	15	1	1	93.33	0.00	458	29.69	0
OTU45	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.49	14	1	1	92.86	0.00	458	31.66	0
OTU46	Arthropoda	Insecta	Lepidoptera	Noctuidae		Catharina	Catharina sp.	90.15	13	2	2	84.62	0.00	458	31.53	0
OTU49	Arthropoda	Insecta	Diptera	Phoridae				92.11	11	1	1	90.91	0.00	458	32.31	0
OTU48								0.00	11	2	1	81.82	50.00	458	39.08	0
OTU47								0.00	11	1	1	90.91	0.00	458	29.26	0
OTU50	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	10	2	2	80.00	0.00	457.5	33.01	0
OTU51	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	acroBioLep01	acroBioLep01 BioLep18	94.97	10	2	2	80.00	0.00	457.5	35.85	0
OTU52								0.00	10	1	1	90.00	0.00	458	32.1	0
OTU53								0.00	9	1	1	88.89	0.00	458	27.29	0
OTU54								0.00	8	1	1	87.50	0.00	458	35.15	0
OTU55	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	8	1	1	87.50	0.00	458	27.07	0
OTU61								0.00	7	1	1	85.71	0.00	459	32.9	0
OTU60								0.00	7	1	1	85.71	0.00	458	35.81	0
OTU63								0.00	7	1	1	85.71	0.00	458	44.98	0
OTU62								0.00	7	1	1	85.71	0.00	245	31.84	0
OTU65								0.00	7	1	1	85.71	0.00	458	34.5	0
OTU64	Arthropoda	Insecta	Diptera	Ceratopogonidae				95.38	7	1	1	85.71	0.00	458	33.84	0
OTU58								0.00	7	1	1	85.71	0.00	458	35.15	0
OTU59	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.25	7	1	1	85.71	0.00	458	37.34	0
OTU56	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	7	1	1	85.71	0.00	458	34.72	0
OTU57	Arthropoda	Insecta	Diptera	Milichiidae	Phyllomyzinae	Phyllomyza		97.36	7	1	1	85.71	0.00	458	28.82	0
OTU67								0.00	6	1	1	83.33	0.00	458	37.99	0
OTU66								0.00	6	1	1	83.33	0.00	458	36.03	0
OTU69	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma		97.58	6	1	1	83.33	0.00	458	34.06	0
OTU68	Arthropoda	Insecta	Lepidoptera	Geometridae	Geometrinae	Rhodochlora	Rhodochlora BioLep22	97.90	6	1	1	83.33	0.00	458	34.5	0
