OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	678	49	49	92.77	0.00	448.24	39.53	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.80	599	18	18	96.99	0.00	457	37.56	0
OTU3								0.00	412	14	1	96.60	92.86	458.07	43.04	0
OTU4	Arthropoda	Insecta	Hemiptera	Reduviidae	Saicinae	Saica		92.56	284	6	6	97.89	0.00	457.99	33.2	0
OTU5	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	275	8	8	97.09	0.00	457.12	33.6	0
OTU6	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	270	6	6	97.78	0.00	457.95	32.33	0
OTU7	Arthropoda	Insecta	Coleoptera	Tenebrionidae				91.65	260	15	15	94.23	0.00	457.93	45.02	0
OTU8	Arthropoda	Insecta	Coleoptera					91.86	223	33	19	85.20	42.42	390.22	30.08	0
OTU9	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	214	23	23	89.25	0.00	400.98	33.85	0
OTU10								0.00	156	3	1	98.08	66.67	457.57	38.7	0
OTU11	Arthropoda	Insecta	Lepidoptera					90.59	155	4	4	97.42	0.00	457.98	29.7	0
OTU12	Arthropoda	Insecta	Psocodea	Psocidae				91.75	146	5	5	96.58	0.00	457.55	33.59	0
OTU13	Arthropoda	Insecta	Coleoptera					97.80	141	4	4	97.16	0.00	457.95	40.63	0
OTU14	Arthropoda	Insecta	Blattodea	Ectobiidae				92.18	125	17	16	86.40	5.88	282.48	35.77	0
OTU15								0.00	120	4	1	96.67	75.00	457.83	35.16	0
OTU16	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga sp	90.79	113	9	3	92.04	66.67	457.81	37.93	0
OTU17	Arthropoda	Insecta	Lepidoptera	Crambidae				90.59	104	4	4	96.15	0.00	458.56	31.4	0
OTU18								0.00	102	4	1	96.08	75.00	457.73	37.17	0
OTU19								0.00	89	5	1	94.38	80.00	457.96	37.8	0
OTU20	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachBioLep01	elachBioLep01 BioLep275	95.62	86	5	5	94.19	0.00	458.03	30.93	0
OTU21	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	84	3	3	96.43	0.00	457.85	31.23	0
OTU22	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga morganellaASolis02	97.94	82	10	10	87.80	0.00	420.33	38.56	0
OTU23								0.00	69	4	1	94.20	75.00	457.86	35.38	0
OTU24								0.00	68	11	1	83.82	90.91	406.07	35.68	0
OTU25	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Chiasmia	Chiasmia sp. ANIC1	91.01	67	3	2	95.52	33.33	457.48	32.13	0
OTU26	Arthropoda	Insecta	Diptera					96.25	67	2	2	97.01	0.00	457.91	39.53	0
OTU27	Arthropoda	Insecta	Diptera	Phoridae	Metopininae	Metopina		97.94	66	7	7	89.39	0.00	457.77	38.37	0
OTU28	Arthropoda	Insecta	Hemiptera	Rhyparochromidae				93.17	59	5	5	91.53	0.00	457.51	40.45	0
OTU29	Arthropoda	Insecta	Lepidoptera	Noctuidae	Acontiinae	Chalenata	Chalenata Poole01	96.71	56	1	1	98.21	0.00	458	31.44	0
OTU30	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.37	52	2	2	96.15	0.00	458.17	33.83	0
OTU32	Arthropoda	Insecta	Lepidoptera	Tineidae				95.37	50	4	4	92.00	0.00	457.88	33.24	0
OTU31								0.00	50	4	1	92.00	75.00	457.52	39.41	0
OTU34	Arthropoda	Insecta	Diptera	Phoridae				92.11	44	4	4	90.91	0.00	457.64	32.39	0
OTU33	Arthropoda	Insecta	Orthoptera	Trigonidiidae				97.36	44	3	3	93.18	0.00	457.91	36.28	0
OTU35	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	43	2	2	95.35	0.00	458.12	33.62	0
OTU36	Arthropoda	Insecta	Lepidoptera					94.73	42	3	3	92.86	0.00	458.07	36.72	0
OTU37	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.75	42	2	2	95.24	0.00	457.64	34.23	0
OTU38								0.00	41	3	1	92.68	66.67	457.98	35.62	0
OTU39	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	39	2	2	94.87	0.00	457.87	34.73	0
OTU40	Arthropoda	Insecta	Lepidoptera					97.15	37	4	4	89.19	0.00	457.08	28.66	0
OTU41	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.36	36	4	4	88.89	0.00	458	26.81	0
OTU43	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	32	1	1	96.88	0.00	458	37.99	0
OTU42								0.00	32	2	1	93.75	50.00	458.25	44.35	0
OTU46	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.78	30	3	3	90.00	0.00	457.67	34.13	0
OTU45	Arthropoda	Insecta	Coleoptera	Chelonariidae				95.15	30	3	3	90.00	0.00	457.7	36.09	0
OTU44								0.00	30	1	1	96.67	0.00	458	34.06	0
OTU47	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.05	29	3	3	89.66	0.00	458	35.97	0
OTU49	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen197	92.78	26	1	1	96.15	0.00	458	32.1	0
OTU48	Arthropoda	Insecta	Lepidoptera	Elachistidae	Agonoxeninae	agoMalaise01	agoMalaise01 Malaise5228	93.22	26	1	1	96.15	0.00	458	33.62	0
OTU50	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Scarabaeinae	Copris	Copris brevicornis	97.59	26	2	2	92.31	0.00	457.81	33.64	0
OTU51	Arthropoda	Insecta	Coleoptera	Leiodidae				95.20	26	2	2	92.31	0.00	457.46	30.49	0
OTU52	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.25	26	1	1	96.15	0.00	458	37.34	0
OTU53	Arthropoda	Insecta	Blattodea					94.27	26	3	3	88.46	0.00	457.96	30.84	0
OTU54	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Sanys	Sanys Poole01	91.45	26	2	2	92.31	0.00	457.81	31.85	0
OTU55	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae			90.15	26	3	2	88.46	33.33	458.08	31.39	0
OTU56	Arthropoda	Insecta	Hemiptera	Derbidae		Oropuna		96.04	25	1	1	96.00	0.00	458	31.66	0
OTU58	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.41	24	1	1	95.83	0.00	458	25.98	0
OTU57								0.00	24	1	1	95.83	0.00	458	36.03	0
OTU60	Arthropoda	Insecta	Lepidoptera					90.81	23	2	2	91.30	0.00	458.3	29.89	0
OTU59	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	acroBioLep01	acroBioLep01 BioLep18	95.62	23	2	2	91.30	0.00	457.74	35.61	0
OTU61								0.00	22	3	1	86.36	66.67	458	34.05	0
OTU62								0.00	22	1	1	95.45	0.00	458	30.79	0
OTU63	Arthropoda	Insecta	Diptera	Sphaeroceridae	Limosininae	Archiceroptera	Archiceroptera highhells_SP	95.19	20	1	1	95.00	0.00	458	36.9	0
OTU64	Arthropoda	Insecta	Diptera	Chironomidae				96.48	20	2	2	90.00	0.00	456.6	34.17	0
OTU65	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga sp	96.32	18	1	1	94.44	0.00	459	38.34	0
OTU67								0.00	17	1	1	94.12	0.00	458	27.51	0
OTU66	Arthropoda	Insecta	Blattodea	Termitidae	Apicotermitinae	Patawatermes	Patawatermes nigripunctatus	90.37	17	2	2	88.24	0.00	458	43.54	0
OTU69	Arthropoda	Insecta	Diptera	Milichiidae	Phyllomyzinae	Phyllomyza		97.36	16	1	1	93.75	0.00	458	28.82	0
OTU68								0.00	16	1	1	93.75	0.00	458	29.48	0
OTU70	Arthropoda	Insecta	Lepidoptera	Tineidae				95.38	15	1	1	93.33	0.00	458	31	0
OTU72	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.33	14	2	2	85.71	0.00	458	27.23	0
OTU73								0.00	14	1	1	92.86	0.00	458	37.12	0
OTU71								0.00	14	1	1	92.86	0.00	458	34.72	0
OTU76								0.00	13	2	1	84.62	50.00	457.62	36.49	0
OTU77	Arthropoda	Pauropoda						91.52	13	2	2	84.62	0.00	388.46	24.46	0
OTU74								0.00	13	1	1	92.31	0.00	458	27.73	0
OTU75	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.49	13	1	1	92.31	0.00	458	36.03	0
OTU83	Arthropoda	Insecta	Lepidoptera	Nepticulidae				96.91	12	1	1	91.67	0.00	459	32.46	0
OTU82								0.00	12	1	1	91.67	0.00	461	31.67	0
OTU81								0.00	12	1	1	91.67	0.00	458	41.05	0
OTU80	Arthropoda	Insecta	Lepidoptera	Tineidae				93.72	12	1	1	91.67	0.00	458	32.75	0
OTU84	Arthropoda	Insecta	Psocodea	Cladiopsocidae				92.11	12	1	1	91.67	0.00	458	38.21	0
OTU78	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	95.16	12	2	2	83.33	0.00	456.42	36.86	0
OTU79	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Lagriinae			91.36	12	1	1	91.67	0.00	458	45.2	0
OTU87	Arthropoda	Insecta	Coleoptera	Scraptiidae				91.25	11	1	1	90.91	0.00	458	34.28	0
OTU86	Arthropoda	Insecta	Coleoptera					97.29	11	1	1	90.91	0.00	458	36.68	0
OTU85	Arthropoda	Insecta	Diptera	Cecidomyiidae	Cecidomyiinae	Dasineura		91.19	11	1	1	90.91	0.00	458	26.64	0
OTU89								0.00	11	1	1	90.91	0.00	458	34.72	0
OTU88	Arthropoda	Insecta	Hemiptera					96.92	11	1	1	90.91	0.00	458	32.75	0
OTU90	Arthropoda	Insecta	Hemiptera	Flatidae				96.93	11	1	1	90.91	0.00	458	29.69	0
OTU91								0.00	11	1	1	90.91	0.00	458	38.65	0
OTU92	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01		97.35	11	1	1	90.91	0.00	458	33.84	0
OTU94								0.00	10	1	1	90.00	0.00	458	31.66	0
OTU93	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	Diaphania	Diaphania sp. 15YB	92.12	10	1	1	90.00	0.00	458	30.35	0
OTU98	Arthropoda	Insecta	Coleoptera					94.05	9	1	1	88.89	0.00	458	32.1	0
OTU99	Arthropoda	Insecta	Blattodea	Cryptocercidae				94.33	9	1	1	88.89	0.00	458	41.48	0
OTU95								0.00	9	1	1	88.89	0.00	458	32.53	0
OTU96								0.00	9	1	1	88.89	0.00	458	35.81	0
OTU97								0.00	9	1	1	88.89	0.00	458	39.52	0
OTU100								0.00	9	1	1	88.89	0.00	458	32.1	0
OTU104	Arthropoda	Insecta	Diptera					95.81	8	1	1	87.50	0.00	458	40.61	0
OTU101	Arthropoda	Insecta	Diptera	Dolichopodidae				94.31	8	1	1	87.50	0.00	458	38.21	0
OTU103	Arthropoda	Insecta	Lepidoptera					96.70	8	1	1	87.50	0.00	458	29.26	0
OTU102	Arthropoda	Insecta	Hemiptera					95.82	8	1	1	87.50	0.00	458	34.72	0
OTU116								0.00	7	1	1	85.71	0.00	458	31.44	0
OTU117	Arthropoda	Insecta	Diptera					97.13	7	1	1	85.71	0.00	458	39.74	0
OTU114								0.00	7	1	1	85.71	0.00	458	44.98	0
OTU115								0.00	7	1	1	85.71	0.00	458	36.24	0
OTU112	Arthropoda	Insecta	Diptera					97.79	7	1	1	85.71	0.00	458	36.9	0
OTU113								0.00	7	1	1	85.71	0.00	458	34.93	0
OTU110								0.00	7	1	1	85.71	0.00	413	34.87	0
OTU111								0.00	7	1	1	85.71	0.00	297	36.7	0
OTU118	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota sp	96.49	7	1	1	85.71	0.00	460	39.35	0
OTU119	Arthropoda	Insecta	Diptera					94.29	7	1	1	85.71	0.00	458	31.44	0
OTU105	Arthropoda	Insecta	Diptera					91.85	7	1	1	85.71	0.00	457	39.61	0
OTU107	Arthropoda	Insecta	Diptera					90.75	7	1	1	85.71	0.00	458	41.7	0
OTU106								0.00	7	1	1	85.71	0.00	458	35.59	0
OTU109	Arthropoda	Insecta	Diptera					91.43	7	1	1	85.71	0.00	458	31.22	0
OTU108	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	7	1	1	85.71	0.00	458	25.55	0
OTU127	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga morganellaASolis02	97.80	6	1	1	83.33	0.00	458	38.86	0
OTU126	Arthropoda	Insecta	Hemiptera					94.51	6	1	1	83.33	0.00	458	32.97	0
OTU125								0.00	6	1	1	83.33	0.00	458	40.61	0
OTU124	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Perola	Perola aenea	93.20	6	1	1	83.33	0.00	458	32.31	0
OTU123	Arthropoda	Insecta	Lepidoptera					97.57	6	1	1	83.33	0.00	458	30.79	0
OTU122	Arthropoda	Insecta	Lepidoptera	Tineidae				91.67	6	1	1	83.33	0.00	458	36.03	0
OTU121								0.00	6	1	1	83.33	0.00	458	43.23	0
OTU120								0.00	6	1	1	83.33	0.00	458	35.59	0
OTU130	Arthropoda	Insecta	Diptera	Ceratopogonidae				95.38	5	1	1	80.00	0.00	458	33.84	0
OTU131	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.39	5	1	1	80.00	0.00	458	32.75	0
OTU132	Arthropoda	Insecta	Lepidoptera	Gelechiidae				91.89	5	1	1	80.00	0.00	457	30.2	0
OTU133	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	5	1	1	80.00	0.00	459	30.28	0
OTU134								0.00	5	1	1	80.00	0.00	457	40.48	0
OTU135	Arthropoda	Insecta	Diptera	Cecidomyiidae				96.69	5	1	1	80.00	0.00	456	26.1	0
OTU136	Arthropoda	Insecta	Diptera	Stratiomyidae				92.79	5	1	1	80.00	0.00	458	32.97	0
OTU137								0.00	5	1	1	80.00	0.00	458	32.97	0
OTU138								0.00	5	1	1	80.00	0.00	458	23.14	0
OTU139								0.00	5	1	1	80.00	0.00	458	31.66	0
OTU129								0.00	5	1	1	80.00	0.00	458	34.72	0
OTU128								0.00	5	1	1	80.00	0.00	456	36.18	0
OTU141	Arthropoda	Insecta	Diptera	Cecidomyiidae				96.69	5	1	1	80.00	0.00	458	26.86	0
OTU140	Arthropoda	Insecta	Diptera	Chironomidae				96.01	5	1	1	80.00	0.00	458	32.97	0
OTU143	Arthropoda	Insecta	Coleoptera	Chelonariidae				90.13	5	1	1	80.00	0.00	458	34.5	0
OTU142								0.00	5	1	1	80.00	0.00	458	35.59	0
OTU144	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Melese	Melese sixola	91.03	5	1	1	80.00	0.00	458	30.57	0
