OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	365	16	16	95.62	0.00	457.16	33.6	0
OTU2	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae			96.71	224	10	10	95.54	0.00	457.42	29.25	0
OTU3	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	186	13	13	93.01	0.00	439.59	30.02	0
OTU4	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	161	16	16	90.06	0.00	450.65	39.65	0
OTU5	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	126	7	7	94.44	0.00	457.66	31.25	0
OTU6	Arthropoda	Insecta	Blattodea					94.49	112	3	3	97.32	0.00	457.77	30.16	0
OTU7	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	101	4	4	96.04	0.00	458.58	30.31	0
OTU8	Arthropoda	Insecta	Diptera					96.25	59	3	3	94.92	0.00	458.17	39.52	0
OTU9	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	58	3	3	94.83	0.00	458	34.15	0
OTU10	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	51	4	4	92.16	0.00	458.22	34.41	0
OTU11								0.00	38	1	1	97.37	0.00	458	35.15	0
OTU12	Arthropoda	Insecta	Coleoptera	Tenebrionidae				91.65	37	3	3	91.89	0.00	458	44.8	0
OTU13	Arthropoda	Insecta	Blattodea	Ectobiidae				97.81	35	2	2	94.29	0.00	457.83	38.22	0
OTU14	Arthropoda	Insecta	Coleoptera	Curculionidae				90.13	34	2	2	94.12	0.00	458.21	30.99	0
OTU15								0.00	30	1	1	96.67	0.00	458	31	0
OTU16	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				93.83	29	3	3	89.66	0.00	458	36.19	0
