OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	857	14	14	98.37	0.00	458.45	30.32	0
OTU2	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	343	7	7	97.96	0.00	457.88	32.32	0
OTU3	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	229	15	15	93.45	0.00	429.32	29.81	0
OTU4	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	136	7	7	94.85	0.00	456.95	33.5	0
OTU5								0.00	94	5	1	94.68	80.00	457.88	37.58	0
OTU6	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	85	6	6	92.94	0.00	455.75	39.73	0
OTU7	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.97	70	6	6	91.43	0.00	457.87	27.16	0
OTU8	Arthropoda	Insecta	Lepidoptera					94.96	64	3	3	95.31	0.00	458.02	29.48	0
OTU9								0.00	62	5	1	91.94	80.00	438.26	34.84	0
OTU10	Arthropoda	Insecta	Lepidoptera					90.33	59	3	3	94.92	0.00	457.92	30.37	0
OTU11								0.00	57	2	1	96.49	50.00	458	35.41	0
OTU12	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	Metalectra		95.19	52	5	5	90.38	0.00	414.1	29.78	0
OTU13	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	51	2	2	96.08	0.00	458.12	34.27	0
OTU14	Arthropoda	Insecta	Blattodea	Ectobiidae				96.03	50	3	3	94.00	0.00	457.68	37.56	0
OTU15	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01	geleBioLep01 BioLep1180	91.47	46	2	2	95.65	0.00	457.8	31.67	0
OTU16								0.00	43	2	1	95.35	50.00	458.16	29.28	0
OTU17	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.22	37	3	3	91.89	0.00	457.97	29.91	0
OTU18								0.00	34	2	1	94.12	50.00	457.85	35.16	0
OTU19	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen245	94.09	32	2	2	93.75	0.00	458.22	31.91	0
OTU20	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				94.05	31	2	2	93.55	0.00	458	36.12	0
OTU21	Arthropoda	Insecta	Diptera	Ceratopogonidae				97.80	29	1	1	96.55	0.00	457	33.26	0
OTU23	Arthropoda	Insecta	Lepidoptera					90.59	25	1	1	96.00	0.00	458	29.69	0
OTU22	Arthropoda	Insecta	Lepidoptera	Pyralidae				90.15	25	4	2	84.00	50.00	458	31.33	0
OTU25								0.00	24	1	1	95.83	0.00	458	41.05	0
OTU24	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	24	1	1	95.83	0.00	458	25.55	0
OTU26	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.96	23	1	1	95.65	0.00	458	34.28	0
OTU28								0.00	22	2	1	90.91	50.00	457.73	33.86	0
OTU27	Arthropoda	Insecta	Lepidoptera					97.37	22	4	4	81.82	0.00	457.05	28.44	0
OTU29	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Promenesta	Promenesta leucomias	96.05	21	2	2	90.48	0.00	457.43	32.14	0
OTU30								0.00	19	1	1	94.74	0.00	458	33.41	0
OTU31	Arthropoda	Insecta	Diptera					96.25	19	1	1	94.74	0.00	458	39.52	0
OTU32								0.00	18	2	1	88.89	50.00	457.89	37.56	0
OTU33								0.00	18	2	1	88.89	50.00	457.56	36.06	0
OTU34								0.00	17	2	1	88.24	50.00	457.65	37.15	0
OTU36								0.00	16	1	1	93.75	0.00	458	33.19	0
OTU35	Arthropoda	Insecta	Hemiptera					94.51	16	1	1	93.75	0.00	458	32.97	0
OTU38	Arthropoda	Insecta	Diptera	Phoridae	Metopininae	Metopina		97.94	15	2	2	86.67	0.00	458	38.25	0
OTU39	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.81	15	1	1	93.33	0.00	458	24.02	0
OTU37	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01		96.40	15	2	2	86.67	0.00	458	26.74	0
OTU40	Arthropoda	Insecta	Diptera					97.36	15	1	1	93.33	0.00	458	25.76	0
OTU43	Arthropoda	Insecta	Diptera	Milichiidae	Milichiinae	Pholeomyia		94.51	14	2	2	85.71	0.00	457.5	32.57	0
OTU42	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep546	97.81	14	1	1	92.86	0.00	458	29.91	0
OTU41	Arthropoda	Insecta	Lepidoptera	Tineidae				95.38	14	2	2	85.71	0.00	458	31	0
OTU44	Arthropoda	Insecta	Lepidoptera	Crambidae	Scopariinae	Scoparia		91.03	13	1	1	92.31	0.00	458	31	0
OTU47								0.00	12	1	1	91.67	0.00	458	33.41	0
OTU46	Arthropoda	Insecta	Lepidoptera	Noctuidae				92.32	12	2	2	83.33	0.00	457.58	27.88	0
OTU45	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Perola	Perola aenea	93.20	12	2	2	83.33	0.00	458.42	32.29	0
OTU50	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelMalaise01	gelMalaise01 Malaise8081	94.75	11	1	1	90.91	0.00	458	27.95	0
OTU51								0.00	11	1	1	90.91	0.00	458	32.31	0
OTU49	Arthropoda	Insecta	Lepidoptera					92.53	11	1	1	90.91	0.00	458	31.88	0
OTU48	Arthropoda	Insecta	Coleoptera	Lycidae				97.57	11	1	1	90.91	0.00	458	37.34	0
OTU54								0.00	9	1	1	88.89	0.00	458	38.43	0
OTU52								0.00	9	1	1	88.89	0.00	458	34.06	0
OTU53								0.00	9	1	1	88.89	0.00	458	39.3	0
OTU56								0.00	8	1	1	87.50	0.00	458	35.37	0
OTU57	Arthropoda	Insecta	Lepidoptera					96.47	8	1	1	87.50	0.00	458	31.88	0
OTU55	Arthropoda	Insecta	Diptera	Chironomidae				96.48	8	1	1	87.50	0.00	457	34.35	0
OTU58	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.37	8	1	1	87.50	0.00	458	33.84	0
OTU59								0.00	8	1	1	87.50	0.00	458	33.19	0
OTU61								0.00	7	1	1	85.71	0.00	458	38.21	0
OTU60	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	Prosoparia	Prosoparia tenebrosa	91.03	7	1	1	85.71	0.00	458	37.77	0
OTU67								0.00	6	1	1	83.33	0.00	458	33.84	0
OTU69	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	Salbia	Salbia Dapkey30	90.96	6	1	1	83.33	0.00	376	31.12	0
OTU66								0.00	6	1	1	83.33	0.00	404	28.71	0
OTU63	Arthropoda	Insecta	Lepidoptera	Noctuidae	Heliothinae	Chloridea	Chloridea virescens	97.14	6	1	1	83.33	0.00	457	29.1	0
OTU62	Arthropoda	Insecta	Lepidoptera	Tineidae				97.14	6	1	1	83.33	0.00	458	29.04	0
OTU65								0.00	6	1	1	83.33	0.00	458	33.19	0
