OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	470	9	9	98.09	0.00	457.86	38	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga morganellaASolis02	97.96	282	23	23	91.84	0.00	421.29	38.54	0
OTU3								0.00	273	6	1	97.80	83.33	457.8	33.43	0
OTU4	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	208	7	7	96.63	0.00	457.94	32.31	0
OTU5	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.27	186	6	6	96.77	0.00	457.94	31.66	0
OTU6	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.62	167	5	5	97.01	0.00	457.71	31.36	0
OTU7	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga guapilesea	90.33	163	6	2	96.32	66.67	457.69	38.22	0
OTU8								0.00	160	10	1	93.75	90.00	457.36	45.17	0
OTU9	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	151	7	7	95.36	0.00	457.92	33.64	0
OTU10	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	126	6	6	95.24	0.00	456.91	33.5	0
OTU11								0.00	116	6	1	94.83	83.33	458	33.01	0
OTU12	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus schneideri	96.71	109	3	3	97.25	0.00	457.96	34.06	0
OTU13								0.00	76	3	1	96.05	66.67	457.67	38	0
OTU14	Arthropoda	Insecta	Psocodea	Psocidae				92.01	65	3	3	95.38	0.00	457.89	33.72	0
OTU15	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	65	9	9	86.15	0.00	397.35	33.92	0
OTU16								0.00	43	6	1	86.05	83.33	458	34.04	0
OTU18	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen208	97.15	35	2	2	94.29	0.00	457.8	32.55	0
OTU17								0.00	35	2	1	94.29	50.00	457.83	40.63	0
OTU19								0.00	34	2	1	94.12	50.00	457.5	33.88	0
OTU20	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	Conchylodes	Conchylodes grammaphora	91.25	33	3	3	90.91	0.00	457.58	32.34	0
OTU21								0.00	32	3	1	90.63	66.67	457.69	31.43	0
OTU23								0.00	31	2	1	93.55	50.00	457.42	33.89	0
OTU22	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.25	31	2	2	93.55	0.00	457.84	37.35	0
