OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	1000	18	1	98.20	94.44	457.98	33.85	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.59	504	17	17	96.63	0.00	457.95	33.78	0
OTU3	Arthropoda	Insecta	Blattodea	Ectobiidae				97.81	184	5	5	97.28	0.00	457.87	38.23	0
OTU4	Arthropoda	Insecta	Lepidoptera					94.51	129	5	5	96.12	0.00	457.75	36.92	0
OTU5	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.68	120	7	7	94.17	0.00	457.68	33.69	0
OTU6	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	101	5	5	95.05	0.00	457.77	31.2	0
OTU7	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	92	6	6	93.48	0.00	457.1	29.77	0
OTU8	Arthropoda	Insecta	Lepidoptera					94.07	57	3	3	94.74	0.00	458.02	36.46	0
OTU9	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Dynastinae	Cyclocephala	Cyclocephala carbonaria	97.39	55	2	2	96.36	0.00	457.91	32.32	0
OTU10	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	54	4	4	92.59	0.00	457.04	33.66	0
OTU11	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep725	96.71	49	2	2	95.92	0.00	457.45	31.04	0
OTU12								0.00	49	3	1	93.88	66.67	457.88	34.73	0
OTU13	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	Acrolophus	Acrolophus pyramellus	91.03	47	2	2	95.74	0.00	458.15	34.3	0
OTU14	Arthropoda	Insecta	Lepidoptera					90.59	45	1	1	97.78	0.00	458	29.69	0
OTU15	Arthropoda	Insecta	Diptera	Phoridae				92.11	45	2	2	95.56	0.00	457.67	32.34	0
OTU16	Arthropoda	Insecta	Diptera	Phoridae	Metopininae	Metopina		97.94	41	3	3	92.68	0.00	458.02	38.43	0
OTU17								0.00	41	1	1	97.56	0.00	458	35.15	0
OTU18	Arthropoda	Insecta	Coleoptera					92.91	37	4	2	89.19	50.00	415.49	33.94	0
OTU19	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.71	36	5	5	86.11	0.00	457.86	39.53	0
OTU20								0.00	35	3	1	91.43	66.67	457.77	34.11	0
OTU21	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.27	31	2	2	93.55	0.00	458.23	31.64	0
OTU22								0.00	29	2	1	93.10	50.00	457.76	35.12	0
OTU25	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Melanolophia	Melanolophia sp.	91.47	26	1	1	96.15	0.00	458	29.48	0
OTU24	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma		97.58	26	3	3	88.46	0.00	458.08	34.06	0
OTU23	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep3631	93.22	26	2	2	92.31	0.00	457.77	29.93	0
OTU27	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga panamana	90.15	25	2	2	92.00	0.00	458.36	35.34	0
OTU26	Arthropoda	Insecta	Hemiptera					97.14	25	2	2	92.00	0.00	457.72	32.55	0
OTU30	Arthropoda	Insecta	Diptera					96.25	24	1	1	95.83	0.00	458	39.52	0
OTU29	Arthropoda	Insecta	Diptera	Cecidomyiidae				94.69	24	2	2	91.67	0.00	455	25.05	0
OTU28								0.00	24	2	1	91.67	50.00	458.58	34.8	0
OTU31	Arthropoda	Insecta	Psocodea	Psocidae				92.01	23	2	2	91.30	0.00	457.78	33.42	0
OTU32	Arthropoda	Insecta	Diptera	Psychodidae				97.36	21	1	1	95.24	0.00	458	34.28	0
OTU34	Arthropoda	Insecta	Diptera	Ceratopogonidae				95.38	20	2	2	90.00	0.00	458.3	33.82	0
OTU33	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.51	20	2	2	90.00	0.00	457.65	33.14	0
OTU35								0.00	19	3	1	84.21	66.67	458.89	32.76	0
OTU36								0.00	18	1	1	94.44	0.00	458	35.81	0
OTU37	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga densata	97.75	15	2	2	86.67	0.00	456.67	37.23	0
OTU38	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	14	2	2	85.71	0.00	458	34.86	0
OTU39	Arthropoda	Insecta	Diptera					97.79	14	1	1	92.86	0.00	458	31.22	0
OTU40	Arthropoda	Insecta	Lepidoptera	Tineidae				90.81	14	2	2	85.71	0.00	458.36	31.71	0
OTU41								0.00	13	1	1	92.31	0.00	458	40.61	0
OTU45	Arthropoda	Arachnida	Trombidiformes	Erythraeidae				93.83	12	2	2	83.33	0.00	458	36.24	0
OTU44								0.00	12	2	1	83.33	50.00	457.58	41.09	0
OTU43	Arthropoda	Insecta	Diptera	Chironomidae				96.01	12	1	1	91.67	0.00	458	32.97	0
OTU42								0.00	12	2	1	83.33	50.00	457.5	30.82	0
OTU47								0.00	11	2	1	81.82	50.00	458	41.37	0
