OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.81	1312	51	51	96.11	0.00	452.72	37.52	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	488	9	9	98.16	0.00	457.89	38	0
OTU3	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	369	9	9	97.56	0.00	458.37	30.33	0
OTU4								0.00	187	12	1	93.58	91.67	457.71	37.99	0
OTU5	Arthropoda	Insecta	Blattodea	Ectobiidae				97.81	179	7	7	96.09	0.00	457.89	38.2	0
OTU6								0.00	110	5	1	95.45	80.00	457.45	38.02	0
OTU7	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep168	95.62	64	3	3	95.31	0.00	457.45	31.26	0
OTU8	Arthropoda	Insecta	Blattodea					94.49	61	2	2	96.72	0.00	457.8	30.14	0
OTU10	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	52	4	4	92.31	0.00	456.88	33.51	0
OTU9	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.77	52	2	2	96.15	0.00	456.83	35.21	0
OTU11	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae			90.37	49	5	3	89.80	40.00	458.1	31.37	0
OTU12	Arthropoda	Insecta	Hemiptera	Derbidae		Oropuna		96.48	49	3	3	93.88	0.00	457.73	31.43	0
OTU13								0.00	48	2	1	95.83	50.00	457.88	30.79	0
OTU14								0.00	45	5	1	88.89	80.00	423.11	31.59	0
OTU15	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Callistethus	Callistethus sp	97.37	41	2	2	95.12	0.00	458.2	33.83	0
OTU16								0.00	31	2	1	93.55	50.00	457.68	33.8	0
OTU17								0.00	29	3	1	89.66	66.67	459.07	32.73	0
OTU18	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.49	27	2	2	92.59	0.00	457.78	31.67	0
OTU19	Arthropoda	Insecta	Coleoptera					91.45	27	3	3	88.89	0.00	457.33	30.17	0
OTU20	Arthropoda	Insecta	Psocodea	Psocidae				92.01	26	2	2	92.31	0.00	458	33.58	0
OTU21	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	25	3	3	88.00	0.00	457.2	29.65	0
OTU22								0.00	25	2	1	92.00	50.00	457.68	29.28	0
OTU24	Arthropoda	Insecta	Lepidoptera					96.70	23	1	1	95.65	0.00	458	31.22	0
OTU23	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota sp	95.84	23	2	2	91.30	0.00	457.65	39.99	0
OTU25	Arthropoda	Insecta	Lepidoptera	Erebidae		erebidBioLep01	erebidBioLep01 BioLep736	94.53	21	2	2	90.48	0.00	457.71	32.55	0
OTU27	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Pero	Pero sp.	91.47	19	1	1	94.74	0.00	458	30.35	0
OTU26								0.00	19	1	1	94.74	0.00	458	35.37	0
OTU29	Arthropoda	Insecta	Lepidoptera					92.98	17	1	1	94.12	0.00	458	30.35	0
OTU28								0.00	17	2	1	88.24	50.00	458.41	39.36	0
OTU32	Arthropoda	Insecta	Diptera					95.81	16	1	1	93.75	0.00	458	40.61	0
OTU30								0.00	16	2	1	87.50	50.00	457.38	38.26	0
OTU31								0.00	16	1	1	93.75	0.00	458	40.61	0
OTU33	Arthropoda	Insecta	Blattodea	Blaberidae				95.84	15	1	1	93.33	0.00	458	35.15	0
OTU34								0.00	14	2	1	85.71	50.00	457.57	34.75	0
OTU36								0.00	13	1	1	92.31	0.00	458	39.3	0
OTU35								0.00	13	2	1	84.62	50.00	456.92	29.11	0
OTU38	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			96.49	12	2	2	83.33	0.00	458	35.5	0
