OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Diptera	Stratiomyidae				97.81	559	14	14	97.50	0.00	457.7	34.77	0
OTU2	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	343	18	18	94.75	0.00	456.85	33.55	0
OTU3	Arthropoda	Insecta	Mantodea	Mantoididae		Mantoida	Mantoida brunneriana	94.31	287	6	6	97.91	0.00	458.1	33.86	0
OTU4								0.00	226	14	1	93.81	92.86	458.91	26.5	0
OTU5	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	223	6	6	97.31	0.00	457.83	32.13	0
OTU6	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.77	209	6	6	97.13	0.00	456.84	35.23	0
OTU7								0.00	167	3	1	98.20	66.67	457.72	36.72	0
OTU8	Arthropoda	Insecta	Lepidoptera					94.96	148	6	6	95.95	0.00	457.84	29.49	0
OTU9	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	137	14	14	89.78	0.00	449.89	39.53	0
OTU10								0.00	126	5	1	96.03	80.00	457.79	35.17	0
OTU11	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes juvenalisDHJ02	97.81	124	6	6	95.16	0.00	456.67	32.58	0
OTU12	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	acroBioLep01	acroBioLep01 BioLep18	94.97	111	4	4	96.40	0.00	457.52	35.86	0
OTU13								0.00	108	5	1	95.37	80.00	457.28	36.39	0
OTU14								0.00	90	6	1	93.33	83.33	457.72	33.88	0
OTU15	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	86	5	5	94.19	0.00	457.1	29.8	0
