OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	842	17	1	97.98	94.12	457.29	44.57	0
OTU2	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.27	566	17	17	97.00	0.00	457.89	31.67	0
OTU3	Arthropoda	Insecta	Blattodea	Ectobiidae				95.67	198	6	6	96.97	0.00	458.06	28.39	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	169	7	7	95.86	0.00	447.18	29.82	0
OTU5	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	113	2	2	98.23	0.00	457.71	37.58	0
OTU6								0.00	110	11	1	90.00	90.91	440.2	35.76	0
OTU7	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	96.70	104	4	4	96.15	0.00	458.03	30.59	0
OTU8	Arthropoda	Insecta	Coleoptera	Limnichidae				97.81	99	8	8	91.92	0.00	458.11	35.35	0
OTU9	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.51	97	5	5	94.85	0.00	457.76	33.17	0
OTU10	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	85	3	3	96.47	0.00	457.64	31.25	0
OTU11	Arthropoda	Insecta	Lepidoptera	Tineidae				97.58	66	6	6	90.91	0.00	457.17	33.48	0
OTU12	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	60	2	2	96.67	0.00	457.87	34.29	0
OTU13	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.47	54	6	6	88.89	0.00	457.61	33.94	0
OTU14	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Macronematinae	Leptonema	Leptonema sinuatum	97.37	52	4	4	92.31	0.00	457.75	38.69	0
OTU15	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga morganellaASolis02	97.96	52	7	7	86.54	0.00	415.98	38.57	0
OTU16	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.75	45	4	4	91.11	0.00	457.76	34.2	0
OTU17	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep725	96.71	43	2	2	95.35	0.00	457.37	31.05	0
OTU18	Arthropoda	Insecta	Diptera	Phoridae				92.11	36	2	2	94.44	0.00	457.67	32.34	0
OTU19	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.99	34	3	3	91.18	0.00	458.29	27.09	0
OTU20								0.00	33	1	1	96.97	0.00	458	35.15	0
OTU21								0.00	32	2	1	93.75	50.00	458.19	35.14	0
OTU22	Arthropoda	Insecta	Blattodea	Blaberidae				95.84	31	2	2	93.55	0.00	457.71	35.18	0
OTU23	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep781	97.35	30	1	1	96.67	0.00	458	30.79	0
