OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.92	1045	65	65	93.78	0.00	449.89	39.54	0
OTU2	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.80	791	26	26	96.71	0.00	453.87	37.51	0
OTU3	Arthropoda	Insecta	Blattodea	Termitidae	Apicotermitinae	OvitermesRHS	OvitermesRHS seani	90.19	531	17	2	96.80	88.24	457.79	43.05	0
OTU4	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	412	8	8	98.06	0.00	457.86	32.32	0
OTU5	Arthropoda	Insecta	Hemiptera	Reduviidae	Saicinae	Saica		92.56	393	7	7	98.22	0.00	457.92	33.2	0
OTU6	Arthropoda	Insecta	Coleoptera	Tenebrionidae				91.65	349	17	17	95.13	0.00	457.92	45.02	0
OTU7	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	337	10	10	97.03	0.00	457.09	33.6	0
OTU8	Arthropoda	Insecta	Coleoptera					91.86	292	40	23	86.30	42.50	386.92	30.13	0
OTU9	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.78	273	24	24	91.21	0.00	397.31	33.86	0
OTU10								0.00	178	7	1	96.07	85.71	457.81	35.17	0
OTU11								0.00	178	5	1	97.19	80.00	457.45	38.71	0
OTU12	Arthropoda	Insecta	Psocodea	Psocidae				91.75	176	6	6	96.59	0.00	457.73	33.61	0
OTU13	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga sp	90.79	161	8	2	95.03	75.00	457.66	37.95	0
OTU14	Arthropoda	Insecta	Lepidoptera					90.59	151	5	4	96.69	20.00	457.94	29.71	0
OTU15	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	150	3	3	98.00	0.00	457.82	31.24	0
OTU16								0.00	147	4	1	97.28	75.00	457.78	37.12	0
OTU17								0.00	147	6	1	95.92	83.33	457.9	37.79	0
OTU18	Arthropoda	Insecta	Coleoptera					97.80	135	4	4	97.04	0.00	457.87	40.63	0
OTU19	Arthropoda	Insecta	Blattodea	Ectobiidae				92.18	133	15	12	88.72	20.00	315.44	35.3	0
OTU20	Arthropoda	Insecta	Lepidoptera	Crambidae				90.59	121	5	5	95.87	0.00	458.42	31.41	0
OTU21	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Chiasmia	Chiasmia sp. ANIC1	91.01	98	4	2	95.92	50.00	457.68	32.13	0
OTU22								0.00	97	14	1	85.57	92.86	405.72	35.65	0
OTU23								0.00	84	4	1	95.24	75.00	457.85	35.37	0
OTU24	Arthropoda	Insecta	Hemiptera	Rhyparochromidae				93.17	83	4	4	95.18	0.00	457.73	40.45	0
OTU25	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga morganellaASolis02	97.93	82	10	10	87.80	0.00	427.52	38.66	0
OTU26	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.75	81	4	4	95.06	0.00	457.4	34.25	0
