OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	464	11	1	97.63	90.91	457.36	44.57	0
OTU2	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes Poole09	96.27	303	6	6	98.02	0.00	457.93	31.66	0
OTU3	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	102	5	5	95.10	0.00	439.81	29.76	0
OTU4	Arthropoda	Insecta	Lepidoptera	unclassified Lepidoptera		lepJanzen01	lepJanzen01 Janzen01	96.70	93	4	4	95.70	0.00	458.11	30.59	0
OTU5	Arthropoda	Insecta	Blattodea	Ectobiidae				95.43	87	4	4	95.40	0.00	458.08	28.38	0
OTU6	Arthropoda	Insecta	Coleoptera	Limnichidae				97.81	62	5	5	91.94	0.00	458.11	35.45	0
OTU7	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Trizogeniates	Trizogeniates foveicollis	97.59	59	3	3	94.92	0.00	457.64	37.61	0
OTU8	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.51	53	3	3	94.34	0.00	457.75	33.15	0
OTU9	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	45	1	1	97.78	0.00	458	34.28	0
OTU10	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	Lophopleura	Lophopleura eurzonalis	95.84	44	2	2	95.45	0.00	457.73	31.24	0
OTU11								0.00	29	4	1	86.21	75.00	458.03	35.94	0
OTU12	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.47	28	3	3	89.29	0.00	458	33.89	0
OTU13	Arthropoda	Insecta	Lepidoptera	Geometridae	Sterrhinae	Idaea		96.94	27	3	3	88.89	0.00	458	32.31	0
OTU14	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.75	26	3	3	88.46	0.00	457.46	34.28	0
OTU15	Arthropoda	Insecta	Diptera	Phoridae				92.11	26	2	2	92.31	0.00	457.81	32.33	0
OTU16	Arthropoda	Insecta	Lepidoptera	Tineidae				97.58	25	2	2	92.00	0.00	457	33.45	0
OTU17								0.00	24	2	1	91.67	50.00	457.79	37.53	0
OTU19								0.00	22	1	1	95.45	0.00	458	35.15	0
OTU18								0.00	22	2	1	90.91	50.00	457.77	35.17	0
OTU20	Arthropoda	Insecta	Coleoptera	Carabidae				96.70	17	2	2	88.24	0.00	457.71	30.37	0
OTU21	Arthropoda	Insecta	Blattodea	Blaberidae				95.84	16	1	1	93.75	0.00	458	35.15	0
OTU23	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	16	2	2	87.50	0.00	457.69	27.09	0
OTU22	Arthropoda	Insecta	Hemiptera	Cicadellidae				97.80	16	1	1	93.75	0.00	458	34.28	0
OTU24	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	15	3	3	80.00	0.00	393.33	33.9	0
OTU28	Arthropoda	Insecta	Lepidoptera	Crambidae				90.59	14	2	2	85.71	0.00	458.36	31.42	0
OTU25	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep781	97.35	14	1	1	92.86	0.00	458	30.79	0
