"bin_uri","classification","sampleId","sequences"
"BOLD:AEF5725","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__;s__","DNA-LT-ZET1-MAR2021-A",2
"BOLD:AEF5912","k__Animalia;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__;s__","DNA-LT-ARM1-MAR2021-A",1
"BOLD:AEF5912","k__Animalia;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__;s__","DNA-LT-ARM4-MAR2021-A",1
"BOLD:AEF6225","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sphaeroceridae;g__;s__","DNA-LT-ARM1-MAR2021-A",1
"BOLD:AEF6369","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Milichiidae;g__Milichiella;s__","DNA-LT-ARM2-MAR2021-A",3
"BOLD:AEF6369","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Milichiidae;g__Milichiella;s__","DNA-LT-ARM4-MAR2021-A",3
"BOLD:AEF6369","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Milichiidae;g__Milichiella;s__","DNA-LT-BAL1-MAR2021-A",3
"BOLD:AEF6457","k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__;s__","DNA-LT-WHE1-MAR2021-B",4
"BOLD:AEF6910","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__;s__","DNA-LT-ARM3-MAR2021-B",7
"BOLD:AEF6910","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__;s__","DNA-LT-ARM4-MAR2021-B",3
"BOLD:AEF7607","k__Animalia;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__;s__","DNA-LT-ARM2-MAR2021-B",1
"BOLD:AEF8501","k__Animalia;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__;s__","DNA-LT-ZET1-MAR2021-A",1
"BOLD:AEF8956","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Zamaradopsis;s__Zamaradopsis tenera","DNA-LT-ARM2-MAR2021-B",1
"BOLD:AEF9118","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__;s__","DNA-LT-BAL1-MAR2021-B",3
"BOLD:AEF9262","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__","DNA-LT-ARM2-MAR2021-A",1
"BOLD:AEF9431","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gracillariidae;g__;s__","DNA-LT-ZET2-MAR2021-A",2
"BOLD:AEF9892","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Endomychidae;g__;s__","DNA-LT-ARM2-MAR2021-B",202
"BOLD:AEF9892","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Endomychidae;g__;s__","DNA-LT-BAL1-MAR2021-B",67
"BOLD:AEF9892","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Endomychidae;g__;s__","DNA-LT-ZET2-MAR2021-A",43
"BOLD:AEF9892","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Endomychidae;g__;s__","DNA-LT-ZET2-MAR2021-B",216
"BOLD:AEG0872","k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae;g__Hormius;s__Hormius Malaise8560","DNA-LT-ARM4-MAR2021-A",1
"BOLD:AEG1384","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__;s__","DNA-LT-ARM2-MAR2021-A",4
"BOLD:AEG1384","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__;s__","DNA-LT-ARM2-MAR2021-B",3
"BOLD:AEG1384","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__;s__","DNA-LT-ARM3-MAR2021-A",1
"BOLD:AEG1384","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__;s__","DNA-LT-ARM3-MAR2021-B",1
"BOLD:AEG1384","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__;s__","DNA-LT-DRA1-MAR2021-B",1
"BOLD:AEG1384","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__;s__","DNA-LT-WHE1-MAR2021-B",1
"BOLD:AEG1495","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Micratopus;s__Micratopus insularis","DNA-LT-ARM1-MAR2021-A",2
"BOLD:AEG1495","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Micratopus;s__Micratopus insularis","DNA-LT-ARM3-MAR2021-B",1
"BOLD:AEG1495","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Micratopus;s__Micratopus insularis","DNA-LT-ARM4-MAR2021-A",1
"BOLD:AEG1495","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Micratopus;s__Micratopus insularis","DNA-LT-DRA1-MAR2021-B",2
"BOLD:AEG1495","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Micratopus;s__Micratopus insularis","DNA-LT-ZET1-MAR2021-A",1
"BOLD:AEG4164","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae;g__;s__","DNA-LT-ARM3-MAR2021-A",1
"BOLD:AEG5465","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Aderidae;g__;s__","DNA-LT-ARM1-MAR2021-B",2
"BOLD:AEG5552","k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydroptilidae;g__Oxyethira;s__","DNA-LT-BAL1-MAR2021-A",2
"BOLD:AEG6732","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Psychodidae;g__Psychoda;s__","DNA-LT-ARM1-MAR2021-A",1
"BOLD:AEG6732","k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Psychodidae;g__Psychoda;s__","DNA-LT-WHE2-MAR2021-B",1
"BOLD:AEG7669","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Zopheridae;g__;s__","DNA-LT-ARM2-MAR2021-B",2
"BOLD:AEG7669","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Zopheridae;g__;s__","DNA-LT-ZET2-MAR2021-A",1
"BOLD:AEG8375","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae;g__;s__","DNA-LT-ARM2-MAR2021-A",3
"BOLD:AEG8375","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae;g__;s__","DNA-LT-ARM3-MAR2021-A",5
"BOLD:AEG8375","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae;g__;s__","DNA-LT-ARM3-MAR2021-B",2
"BOLD:AEG8375","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae;g__;s__","DNA-LT-DRA1-MAR2021-A",1
"BOLD:AEG8547","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Oxytelus;s__Oxytelus incisus","DNA-LT-ARM2-MAR2021-B",1
"BOLD:AEG8547","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Oxytelus;s__Oxytelus incisus","DNA-LT-ARM3-MAR2021-B",1
"BOLD:AEG8547","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Oxytelus;s__Oxytelus incisus","DNA-LT-ARM4-MAR2021-B",2
"BOLD:AEG8973","k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Tylozygus;s__","DNA-LT-ARM3-MAR2021-A",3
"BOLD:AEG8973","k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Tylozygus;s__","DNA-LT-WHE1-MAR2021-B",43
"BOLD:AEG8973","k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Tylozygus;s__","DNA-LT-ZET1-MAR2021-B",439
"BOLD:AEH0458","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__","DNA-LT-ARM2-MAR2021-A",9
"BOLD:AEH0458","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__","DNA-LT-ARM3-MAR2021-A",1
"BOLD:AEH0458","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__","DNA-LT-DRA1-MAR2021-A",12
"BOLD:AEH0458","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__","DNA-LT-ZET1-MAR2021-A",35
"BOLD:AEH0458","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__","DNA-LT-ZET2-MAR2021-A",4
"BOLD:AEH0648","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Euplatypus;s__Euplatypus parallelus","DNA-LT-ARM4-MAR2021-A",2
"BOLD:AEH0648","k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Euplatypus;s__Euplatypus parallelus","DNA-LT-ARM4-MAR2021-B",3
