OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Hemiptera	Cicadidae				94.09	323	27	27	91.64	0.00	368.41	33.88	0
OTU2								0.00	61	4	1	93.44	75.00	457.49	31.69	0
OTU3								0.00	46	2	1	95.65	50.00	106.89	27.13	0
OTU4								0.00	40	3	1	92.50	66.67	457.85	33.17	0
OTU5	Arthropoda	Insecta	Blattodea					96.48	30	1	1	96.67	0.00	458	37.77	0
OTU6	Arthropoda	Insecta	Blattodea					92.76	19	2	2	89.47	0.00	457.42	34.63	0
OTU7	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae			96.05	19	1	1	94.74	0.00	458	30.13	0
OTU8	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	Pelochrista	Pelochrista fuscostriata	93.65	17	3	3	82.35	0.00	242.53	31.4	0
OTU9								0.00	14	1	1	92.86	0.00	113	40.71	0
OTU10	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.57	10	1	1	90.00	0.00	457	35.23	0
OTU11								0.00	9	1	1	88.89	0.00	107	31.78	0
OTU14								0.00	7	1	1	85.71	0.00	458	29.04	0
OTU12								0.00	7	1	1	85.71	0.00	458	30.79	0
OTU13								0.00	7	1	1	85.71	0.00	458	33.84	0
OTU15	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	Acrolophus	Acrolophus BioLep39	94.09	6	1	1	83.33	0.00	458	32.53	0
OTU16	Arthropoda	Insecta	Coleoptera	Elateridae	Elaterinae	Orthostethus	Orthostethus infuscatus	95.61	6	1	1	83.33	0.00	457	38.95	0
OTU17	Arthropoda	Insecta	Diptera					96.25	5	1	1	80.00	0.00	458	39.52	0
