OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Macronematinae	Leptonema	Leptonema sp. gmycC51	97.81	77	4	4	94.81	0.00	457.69	38.66	0
OTU2								0.00	73	3	1	95.89	66.67	458.12	34.99	0
OTU3								0.00	67	6	1	91.04	83.33	457.63	37.7	0
OTU4	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae			96.71	55	4	4	92.73	0.00	457.73	29.25	0
OTU5	Arthropoda	Insecta	Lepidoptera	Depressariidae				95.18	50	2	2	96.00	0.00	457.84	34.73	0
OTU6								0.00	42	3	1	92.86	66.67	458.12	37.11	0
OTU7								0.00	32	2	1	93.75	50.00	112.22	24.25	0
OTU8	Arthropoda	Insecta	Psocodea	Psocidae				92.01	20	3	3	85.00	0.00	457.75	33.48	0
OTU9	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep777	97.36	14	1	1	92.86	0.00	457	30.85	0
OTU10								0.00	10	1	1	90.00	0.00	458	40.39	0
OTU11								0.00	8	1	1	87.50	0.00	140	41.43	0
OTU12	Arthropoda	Insecta	Hemiptera	Pentatomidae				94.73	6	1	1	83.33	0.00	458	35.37	0
OTU14								0.00	5	1	1	80.00	0.00	458	37.12	0
OTU15	Arthropoda	Insecta	Diptera	Chironomidae	Chironominae	Chironomus	Chironomus sp. 3	93.44	5	1	1	80.00	0.00	122	36.89	0
OTU16								0.00	5	1	1	80.00	0.00	112	22.32	0
OTU13								0.00	5	1	1	80.00	0.00	458	37.34	0
