OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Dynastinae	Cyclocephala	Cyclocephala sp. 13YB	97.81	152	6	6	96.05	0.00	457.79	35.36	0
OTU2								0.00	61	2	1	96.72	50.00	127.8	30.52	0
OTU3								0.00	22	1	1	95.45	0.00	107	29.91	0
OTU4	Arthropoda	Insecta	Blattodea					95.83	20	2	2	90.00	0.00	457.55	38.03	0
OTU5								0.00	13	1	1	92.31	0.00	458	34.72	0
OTU6								0.00	11	1	1	90.91	0.00	107	27.1	0
OTU8								0.00	9	1	1	88.89	0.00	458	33.84	0
OTU7								0.00	9	1	1	88.89	0.00	128	29.69	0
OTU9	Arthropoda	Insecta	Coleoptera	Curculionidae	Platypodinae	Euplatypus	Euplatypus sp. 5YB	96.19	8	1	1	87.50	0.00	136	34.56	0
OTU10	Arthropoda	Insecta	Diptera					96.25	8	1	1	87.50	0.00	458	39.52	0
OTU11	Arthropoda	Insecta	Diptera	Muscidae				97.58	7	1	1	85.71	0.00	458	31.66	0
OTU12	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01	gelBioLep01 BioLep1366	90.59	7	1	1	85.71	0.00	458	29.48	0
OTU13	Arthropoda	Insecta	Lepidoptera	Geometridae				94.20	7	1	1	85.71	0.00	458	31.22	0
OTU14	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep929	96.49	6	1	1	83.33	0.00	458	30.35	0
OTU15	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	Carthara		94.09	5	1	1	80.00	0.00	458	29.91	0
