OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Hemiptera	Fulgoridae		Pterodictya	Pterodictya reticularis	91.85	376	12	12	96.81	0.00	457.57	33.44	0
OTU2								0.00	85	1	1	98.82	0.00	107	29.91	0
OTU3								0.00	70	2	1	97.14	50.00	106.86	31.82	0
OTU4								0.00	61	3	1	95.08	66.67	106.74	27.17	0
OTU5								0.00	40	2	1	95.00	50.00	130.75	27.53	0
OTU6								0.00	39	1	1	97.44	0.00	122	29.51	0
OTU7								0.00	28	2	1	92.86	50.00	457.82	32.98	0
OTU8								0.00	23	1	1	95.65	0.00	120	26.67	0
OTU9								0.00	21	3	1	85.71	66.67	459.05	35.07	0
OTU10	Arthropoda	Insecta	Diptera					96.25	15	1	1	93.33	0.00	458	39.52	0
OTU11								0.00	12	1	1	91.67	0.00	128	29.69	0
OTU12	Arthropoda	Insecta	Coleoptera	Curculionidae	Platypodinae	Euplatypus	Euplatypus sp. 5YB	96.19	12	1	1	91.67	0.00	136	34.56	0
OTU13								0.00	10	1	1	90.00	0.00	156	32.69	0
OTU14								0.00	8	1	1	87.50	0.00	128	28.91	0
OTU15								0.00	7	1	1	85.71	0.00	113	40.71	0
OTU16								0.00	7	1	1	85.71	0.00	103	36.89	0
OTU17								0.00	5	1	1	80.00	0.00	122	27.87	0
OTU18	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep929	96.27	5	1	1	80.00	0.00	458	30.13	0
