OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	88	3	1	96.59	66.67	457.48	38.93	0
OTU2	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Triommatodes	Triommatodes mapiriensis	97.15	26	4	4	84.62	0.00	457.31	29.08	0
OTU3	Arthropoda	Insecta	Diptera					96.25	14	1	1	92.86	0.00	458	39.52	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Perola	Perola BioLep05	96.71	13	1	1	92.31	0.00	458	32.1	0
OTU6								0.00	10	2	1	80.00	50.00	457.5	30.82	0
OTU5								0.00	10	1	1	90.00	0.00	128	28.91	0
OTU7								0.00	8	1	1	87.50	0.00	458	30.79	0
OTU8								0.00	7	1	1	85.71	0.00	131	27.48	0
OTU9	Arthropoda	Insecta	Diptera					90.09	7	1	1	85.71	0.00	458	41.92	0
OTU10								0.00	6	1	1	83.33	0.00	458	35.15	0
OTU11								0.00	6	1	1	83.33	0.00	113	40.71	0
OTU12								0.00	5	1	1	80.00	0.00	185	37.84	0
OTU13	Arthropoda	Insecta	Lepidoptera					94.53	5	1	1	80.00	0.00	458	32.31	0
