OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Dynastinae	Cyclocephala	Cyclocephala sp. 13YB	97.81	206	8	8	96.12	0.00	457.88	35.37	0
OTU2								0.00	26	1	1	96.15	0.00	128	30.47	0
OTU3								0.00	21	1	1	95.24	0.00	116	43.1	0
OTU4	Arthropoda	Insecta	Blattodea					95.83	19	2	2	89.47	0.00	457.74	38.01	0
OTU5								0.00	17	1	1	94.12	0.00	458	34.72	0
OTU6	Arthropoda	Insecta	Diptera	Muscidae				97.58	12	1	1	91.67	0.00	458	31.66	0
OTU7								0.00	11	1	1	90.91	0.00	107	29.91	0
OTU8								0.00	8	1	1	87.50	0.00	112	24.11	0
OTU9	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep929	96.49	7	1	1	85.71	0.00	458	30.35	0
OTU10								0.00	7	1	1	85.71	0.00	217	36.41	0
OTU14	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	Carthara		97.81	6	1	1	83.33	0.00	457	29.54	0
OTU15	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachJanzen01	elachJanzen01 Janzen211	95.18	6	1	1	83.33	0.00	457	32.82	0
OTU11	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	Carthara		97.59	6	1	1	83.33	0.00	458	31.44	0
OTU12	Arthropoda	Insecta	Coleoptera	Curculionidae	Platypodinae	Euplatypus	Euplatypus sp. 5YB	96.19	6	1	1	83.33	0.00	136	34.56	0
OTU13	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelBioLep01	gelBioLep01 BioLep1366	90.59	6	1	1	83.33	0.00	458	29.48	0
OTU16	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	Carthara		97.15	5	1	1	80.00	0.00	458	30.79	0
OTU17	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha fascicularis	94.31	5	1	1	80.00	0.00	458	32.1	0
OTU18	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	Carthara		93.87	5	1	1	80.00	0.00	457	30.42	0
