OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	355	9	1	97.46	88.89	457.62	36.28	0
OTU2	Arthropoda	Insecta	Orthoptera					91.03	165	7	7	95.76	0.00	457.53	34.1	0
OTU3								0.00	131	6	1	95.42	83.33	190.91	36.16	0
OTU4	Arthropoda	Insecta	Hemiptera	Pentatomidae	Discocephalinae	Ablaptus	Ablaptus brevirostrum	91.68	110	10	10	90.91	0.00	458.04	34.56	0
OTU5								0.00	55	2	1	96.36	50.00	116.89	26.52	0
OTU6								0.00	39	5	1	87.18	80.00	457.77	34.05	0
OTU7								0.00	38	1	1	97.37	0.00	107	27.1	0
OTU8	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	Lascoria	Lascoria sp.	94.09	37	2	2	94.59	0.00	457.81	30.8	0
OTU9								0.00	31	1	1	96.77	0.00	140	38.57	0
OTU10								0.00	29	1	1	96.55	0.00	137	37.23	0
OTU11	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	Zanclognatha	Zanclognatha fumosa	90.81	24	3	3	87.50	0.00	458.71	31.61	0
OTU12	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma	Stenoma sp.	96.93	24	2	2	91.67	0.00	457.71	30.59	0
OTU13	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	Pelochrista	Pelochrista fuscostriata	93.65	22	4	4	81.82	0.00	213.23	30.81	0
OTU14								0.00	17	2	1	88.24	50.00	278	29.24	0
OTU15								0.00	12	2	1	83.33	50.00	458.58	36.63	0
OTU16								0.00	11	1	1	90.91	0.00	458	30.79	0
OTU17	Arthropoda	Insecta	Coleoptera	Buprestidae	Buprestinae	Chrysobothris	Chrysobothris femorata	90.85	10	1	1	90.00	0.00	232	24.14	0
OTU18	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae			96.05	10	1	1	90.00	0.00	458	30.13	0
OTU19	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	9	1	1	88.89	0.00	459	30.28	0
OTU20								0.00	8	1	1	87.50	0.00	263	28.52	0
OTU21	Arthropoda	Insecta	Mantodea	Mantoididae		Mantoida	Mantoida brunneriana	94.09	7	1	1	85.71	0.00	458	33.84	0
OTU22	Arthropoda	Insecta	Diptera					96.25	7	1	1	85.71	0.00	458	39.52	0
OTU28								0.00	6	1	1	83.33	0.00	378	36.24	0
OTU25								0.00	6	1	1	83.33	0.00	155	36.13	0
OTU24								0.00	6	1	1	83.33	0.00	155	32.26	0
OTU27	Arthropoda	Insecta	Diptera	Chironomidae				96.01	6	1	1	83.33	0.00	458	32.97	0
OTU26								0.00	6	1	1	83.33	0.00	191	36.13	0
OTU23								0.00	6	1	1	83.33	0.00	169	39.05	0
OTU30	Arthropoda	Insecta	Lepidoptera	Erebidae				97.58	5	1	1	80.00	0.00	457	31.95	0
OTU29								0.00	5	1	1	80.00	0.00	191	36.13	0
