OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	115	3	1	97.39	66.67	457.56	38.92	0
OTU2	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Triommatodes	Triommatodes mapiriensis	97.15	26	4	4	84.62	0.00	457.15	29.09	0
OTU3	Arthropoda	Insecta	Diptera					96.25	21	1	1	95.24	0.00	458	39.52	0
OTU4	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Perola	Perola BioLep05	96.71	13	1	1	92.31	0.00	458	32.1	0
OTU5	Arthropoda	Insecta	Diptera					90.09	12	2	2	83.33	0.00	457.42	41.97	0
OTU6								0.00	9	1	1	88.89	0.00	458	30.79	0
OTU7								0.00	9	1	1	88.89	0.00	131	27.48	0
OTU8								0.00	8	1	1	87.50	0.00	103	34.95	0
OTU9								0.00	7	1	1	85.71	0.00	113	40.71	0
OTU10								0.00	5	1	1	80.00	0.00	458	32.1	0
OTU11								0.00	5	1	1	80.00	0.00	458	30.79	0
OTU12								0.00	5	1	1	80.00	0.00	128	28.91	0
