OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Hemiptera	Cicadidae				94.20	405	40	40	90.12	0.00	339.59	34.21	0
OTU2								0.00	108	4	1	96.30	75.00	106.82	27.15	0
OTU3								0.00	41	3	1	92.68	66.67	457.51	31.69	0
OTU4								0.00	35	1	1	97.14	0.00	113	40.71	0
OTU6	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae			96.05	31	1	1	96.77	0.00	458	30.13	0
OTU5								0.00	31	3	1	90.32	66.67	457.81	33.16	0
OTU8	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	Pelochrista	Pelochrista fuscostriata	94.31	30	5	5	83.33	0.00	125.93	32.02	0
OTU7	Arthropoda	Insecta	Blattodea					92.76	30	3	3	90.00	0.00	457.43	34.64	0
OTU9	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.77	26	2	2	92.31	0.00	456.73	35.19	0
OTU10								0.00	23	1	1	95.65	0.00	107	31.78	0
OTU11	Arthropoda	Insecta	Diptera					96.25	18	1	1	94.44	0.00	458	39.52	0
OTU12	Arthropoda	Insecta	Blattodea					96.48	17	2	2	88.24	0.00	457.65	37.8	0
OTU13								0.00	11	1	1	90.91	0.00	458	33.84	0
OTU14								0.00	10	1	1	90.00	0.00	458	29.04	0
OTU15								0.00	9	1	1	88.89	0.00	105	25.71	0
OTU16								0.00	7	1	1	85.71	0.00	103	36.89	0
OTU17								0.00	7	1	1	85.71	0.00	458	30.79	0
OTU18	Arthropoda	Insecta	Hemiptera					96.26	6	1	1	83.33	0.00	458	33.84	0
OTU20	Arthropoda	Insecta	Coleoptera	Elateridae	Elaterinae	Orthostethus	Orthostethus infuscatus	95.61	5	1	1	80.00	0.00	457	38.95	0
OTU19	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep207	94.75	5	1	1	80.00	0.00	458	32.75	0
